Freq.	S11(v1)	S21(v1)
1.00000000000000e+00	9.99990420313956e-06,-1.20883505335684e-08	9.99990000104201e-01,-2.48881966235706e-08
3.00301299299299e+05	-1.69563445788778e-05,-3.62996433889988e-03	9.99955481728077e-01,-7.47380026604925e-03
6.00601598598599e+05	-9.78126090624976e-05,-7.25881727217316e-03	9.99851937689637e-01,-1.49466294201931e-02
9.00901897897898e+05	-2.32532573191557e-04,-1.08854722019574e-02	9.99679399826392e-01,-2.24175667650129e-02
1.20120219719720e+06	-4.21055737306997e-04,-1.45088316957908e-02	9.99437921171834e-01,-2.98856679837084e-02
1.50150249649650e+06	-6.63297473359137e-04,-1.81278001999576e-02	9.99127575897315e-01,-3.73499906607786e-02
1.80180279579580e+06	-9.59149096200429e-04,-2.17412846619173e-02	9.98748459236691e-01,-4.48095949118898e-02
2.10210309509510e+06	-1.30847795502342e-03,-2.53481951496018e-02	9.98300687389653e-01,-5.22635440105452e-02
2.40240339439439e+06	-1.71112754479097e-03,-2.89474454666510e-02	9.97784397403902e-01,-5.97109050106066e-02
2.70270369369369e+06	-2.16691763746280e-03,-3.25379537629149e-02	9.97199747036367e-01,-6.71507493639826e-02
3.00300399299299e+06	-2.67564443276735e-03,-3.61186431393090e-02	9.96546914593701e-01,-7.45821535325516e-02
3.30330429229229e+06	-3.23708072828865e-03,-3.96884422465146e-02	9.95826098752304e-01,-8.20041995937933e-02
3.60360459159159e+06	-3.85097610852525e-03,-4.32462858764399e-02	9.95037518358197e-01,-8.94159758390296e-02
3.90390489089089e+06	-4.51705715262962e-03,-4.67911155460321e-02	9.94181412207039e-01,-9.68165773638459e-02
4.20420519019019e+06	-5.23502766044059e-03,-5.03218800725367e-02	9.93258038804686e-01,-1.04205106649773e-01
4.50450548948949e+06	-6.00456889642331e-03,-5.38375361395672e-02	9.92267676108655e-01,-1.11580674136575e-01
4.80480578878879e+06	-6.82533985109113e-03,-5.73370488533318e-02	9.91210621250925e-01,-1.18942398784471e-01
5.10510608808809e+06	-7.69697751946241e-03,-6.08193922883262e-02	9.90087190242524e-01,-1.26289408625589e-01
5.40540638738739e+06	-8.61909719606990e-03,-6.42835500219093e-02	9.88897717660370e-01,-1.33620841304036e-01
5.70570668668669e+06	-9.59129278601556e-03,-6.77285156571107e-02	9.87642556316874e-01,-1.40935844603935e-01
6.00600698598599e+06	-1.06131371315510e-02,-7.11532933331321e-02	9.86322076912825e-01,-1.48233576964855e-01
6.30630728528529e+06	-1.16841823536177e-02,-7.45568982229589e-02	9.84936667674106e-01,-1.55513207984049e-01
6.60660758458459e+06	-1.28039602077881e-02,-7.79383570175764e-02	9.83486733972814e-01,-1.62773918904959e-01
6.90690788388389e+06	-1.39719824539971e-02,-8.12967083962812e-02	9.81972697933364e-01,-1.70014903091472e-01
7.20720818318319e+06	-1.51877412394644e-02,-8.46310034826231e-02	9.80394998024200e-01,-1.77235366487444e-01
7.50750848248249e+06	-1.64507094941670e-02,-8.79403062855365e-02	9.78754088635722e-01,-1.84434528061020e-01
7.80780878178179e+06	-1.77603413382222e-02,-9.12236941252584e-02	9.77050439645076e-01,-1.91611620233346e-01
8.10810908108109e+06	-1.91160725005131e-02,-9.44802580436474e-02	9.75284535968468e-01,-1.98765889291250e-01
8.40840938038039e+06	-2.05173207478934e-02,-9.77091031985539e-02	9.73456877101654e-01,-2.05896595783534e-01
8.70870967967969e+06	-2.19634863242750e-02,-1.00909349241936e-01	9.71567976649295e-01,-2.13003014900554e-01
9.00900997897899e+06	-2.34539523989181e-02,-1.04080130681445e-01	9.69618361843855e-01,-2.20084436836771e-01
9.30931027827829e+06	-2.49880855232079e-02,-1.07220597225189e-01	9.67608573054740e-01,-2.27140167135997e-01
9.60961057757759e+06	-2.65652360952234e-02,-1.10329914109516e-01	9.65539163288377e-01,-2.34169527019115e-01
9.90991087687689e+06	-2.81847388313818e-02,-1.13407262409574e-01	9.63410697679923e-01,-2.41171853694036e-01
1.02102111761762e+07	-2.98459132444346e-02,-1.16451839332528e-01	9.61223752977342e-01,-2.48146500647756e-01
1.05105114754755e+07	-3.15480641271161e-02,-1.19462858493302e-01	9.58978917018509e-01,-2.55092837920327e-01
1.08108117747748e+07	-3.32904820407141e-02,-1.22439550172739e-01	9.56676788202090e-01,-2.62010252360649e-01
1.11111120740741e+07	-3.50724438078529e-02,-1.25381161558156e-01	9.54317974952880e-01,-2.68898147864006e-01
1.14114123733734e+07	-3.68932130087768e-02,-1.28286956966229e-01	9.51903095182298e-01,-2.75755945591283e-01
1.17117126726727e+07	-3.87520404804298e-02,-1.31156218048222e-01	9.49432775744747e-01,-2.82583084169834e-01
1.20120129719720e+07	-4.06481648176242e-02,-1.33988243977604e-01	9.46907651890516e-01,-2.89379019876030e-01
1.23123132712713e+07	-4.25808128756103e-02,-1.36782351620107e-01	9.44328366715906e-01,-2.96143226799510e-01
1.26126135705706e+07	-4.45492002733578e-02,-1.39537875686309e-01	9.41695570611261e-01,-3.02875196989195e-01
1.29129138698699e+07	-4.65525318968767e-02,-1.42254168866867e-01	9.39009920707556e-01,-3.09574440581163e-01
1.32132141691692e+07	-4.85900024019104e-02,-1.44930601950557e-01	9.36272080322191e-01,-3.16240485908510e-01
1.35135144684685e+07	-5.06607967153497e-02,-1.47566563925272e-01	9.33482718404642e-01,-3.22872879593322e-01
1.38138147677678e+07	-5.27640905347301e-02,-1.50161462062188e-01	9.30642508982572e-01,-3.29471186620945e-01
1.41141150670671e+07	-5.48990508251842e-02,-1.52714721983329e-01	9.27752130609032e-01,-3.36034990396736e-01
1.44144153663664e+07	-5.70648363132411e-02,-1.55225787712757e-01	9.24812265811327e-01,-3.42563892785507e-01
1.47147156656657e+07	-5.92605979768838e-02,-1.57694121711678e-01	9.21823600542133e-01,-3.49057514133913e-01
1.50150159649650e+07	-6.14854795312757e-02,-1.60119204897738e-01	9.18786823633430e-01,-3.55515493276023e-01
1.53153162642643e+07	-6.37386179096116e-02,-1.62500536648838e-01	9.15702626253770e-01,-3.61937487522370e-01
1.56156165635636e+07	-6.60191437385390e-02,-1.64837634791776e-01	9.12571701369435e-01,-3.68323172632756e-01
1.59159168628629e+07	-6.83261818076414e-02,-1.67130035576095e-01	9.09394743209950e-01,-3.74672242773145e-01
1.62162171621622e+07	-7.06588515324666e-02,-1.69377293633485e-01	9.06172446738466e-01,-3.80984410456959e-01
1.65165174614615e+07	-7.30162674106297e-02,-1.71578981923120e-01	9.02905507127457e-01,-3.87259406471125e-01
1.68168177607608e+07	-7.53975394705204e-02,-1.73734691663349e-01	8.99594619240178e-01,-3.93496979787231e-01
1.71171180600601e+07	-7.78017737121828e-02,-1.75844032250137e-01	8.96240477118300e-01,-3.99696897458174e-01
1.74174183593594e+07	-8.02280725399341e-02,-1.77906631162688e-01	8.92843773476126e-01,-4.05858944500651e-01
1.77177186586587e+07	-8.26755351863399e-02,-1.79922133856690e-01	8.89405199201754e-01,-4.11982923763925e-01
1.80180189579580e+07	-8.51432581271541e-02,-1.81890203645628e-01	8.85925442865560e-01,-4.18068655785238e-01
1.83183192572573e+07	-8.76303354868775e-02,-1.83810521570625e-01	8.82405190236308e-01,-4.24115978632289e-01
1.86186195565566e+07	-9.01358594345977e-02,-1.85682786259281e-01	8.78845123805219e-01,-4.30124747733204e-01
1.89189198558559e+07	-9.26589205698005e-02,-1.87506713773979e-01	8.75245922318272e-01,-4.36094835694405e-01
1.92192201551552e+07	-9.51986082978573e-02,-1.89282037450144e-01	8.71608260317016e-01,-4.42026132106811e-01
1.95195204544545e+07	-9.77540111949274e-02,-1.91008507724944e-01	8.67932807688118e-01,-4.47918543340803e-01
1.98198207537538e+07	-1.00324217362023e-01,-1.92685891956915e-01	8.64220229221893e-01,-4.53771992330387e-01
2.01201210530531e+07	-1.02908314768011e-01,-1.94313974237018e-01	8.60471184179991e-01,-4.59586418346976e-01
2.04204213523524e+07	-1.05505391581350e-01,-1.95892555191614e-01	8.56686325872441e-01,-4.65361776763251e-01
2.07207216516517e+07	-1.08114536490371e-01,-1.97421451777861e-01	8.52866301244194e-01,-4.71098038807497e-01
2.10210219509510e+07	-1.10734839011954e-01,-1.98900497072041e-01	8.49011750471320e-01,-4.76795191308888e-01
2.13213222502503e+07	-1.13365389788436e-01,-2.00329540051299e-01	8.45123306566947e-01,-4.82453236434121e-01
2.16216225495496e+07	-1.16005280872638e-01,-2.01708445369308e-01	8.41201594997076e-01,-4.88072191415827e-01
2.19219228488489e+07	-1.18653606000913e-01,-2.03037093126357e-01	8.37247233306317e-01,-4.93652088273202e-01
2.22222231481482e+07	-1.21309460854117e-01,-2.04315378634350e-01	8.33260830753623e-01,-4.99192973525247e-01
2.25225234474475e+07	-1.23971943306437e-01,-2.05543212177212e-01	8.29242987958058e-01,-5.04694907897047e-01
2.28228237467468e+07	-1.26640153662033e-01,-2.06720518767196e-01	8.25194296554614e-01,-5.10157966019489e-01
2.31231240460461e+07	-1.29313194879466e-01,-2.07847237897560e-01	8.21115338860097e-01,-5.15582236122798e-01
2.34234243453454e+07	-1.31990172783877e-01,-2.08923323292124e-01	8.17006687549053e-01,-5.20967819724316e-01
2.37237246446447e+07	-1.34670196266941e-01,-2.09948742652140e-01	8.12868905339720e-01,-5.26314831310860e-01
2.40240249439440e+07	-1.37352377474603e-01,-2.10923477400982e-01	8.08702544689951e-01,-5.31623398016067e-01
2.43243252432433e+07	-1.40035831982619e-01,-2.11847522427095e-01	8.04508147503062e-01,-5.36893659293062e-01
2.46246255425426e+07	-1.42719678959974e-01,-2.12720885825665e-01	8.00286244843520e-01,-5.42125766582806e-01
2.49249258418419e+07	-1.45403041320201e-01,-2.13543588639465e-01	7.96037356662396e-01,-5.47319882978468e-01
2.52252261411412e+07	-1.48085045860723e-01,-2.14315664599308e-01	7.91761991532474e-01,-5.52476182886146e-01
2.55255264404405e+07	-1.50764823390249e-01,-2.15037159864546e-01	7.87460646392913e-01,-5.57594851682246e-01
2.58258267397398e+07	-1.53441508844372e-01,-2.15708132764040e-01	7.83133806303339e-01,-5.62676085367828e-01
2.61261270390391e+07	-1.56114241389457e-01,-2.16328653538024e-01	7.78781944207221e-01,-5.67720090220217e-01
2.64264273383384e+07	-1.58782164514938e-01,-2.16898804081258e-01	7.74405520704413e-01,-5.72727082442139e-01
