Freq.	S11(v1)	S21(v1)
7.00000000000000e+07	-9.57081894315976e-02,5.83761866283911e-03	-1.58124973674817e-01,-9.82725746711199e-01
7.00600600600601e+07	-9.45238188994268e-02,5.82293189620475e-03	-1.60133737794644e-01,-9.82515137293323e-01
7.01201201201201e+07	-9.33362624512957e-02,5.80311411863454e-03	-1.62144739732097e-01,-9.82298910343928e-01
7.01801801801802e+07	-9.21455372925357e-02,5.77813579832370e-03	-1.64157963442129e-01,-9.82077037779531e-01
7.02402402402402e+07	-9.09516608746850e-02,5.74796739396188e-03	-1.66173392631163e-01,-9.81849491498564e-01
7.03003003003003e+07	-8.97546508968243e-02,5.71257935658170e-03	-1.68191010755699e-01,-9.81616243383254e-01
7.03603603603603e+07	-8.85545253069058e-02,5.67194213143274e-03	-1.70210801020942e-01,-9.81377265301522e-01
7.04204204204204e+07	-8.73513023030696e-02,5.62602615987817e-03	-1.72232746379430e-01,-9.81132529108906e-01
7.04804804804804e+07	-8.61450003349538e-02,5.57480188131548e-03	-1.74256829529672e-01,-9.80882006650516e-01
7.05405405405405e+07	-8.49356381049895e-02,5.51823973512200e-03	-1.76283032914810e-01,-9.80625669763003e-01
7.06006006006005e+07	-8.37232345696907e-02,5.45631016262449e-03	-1.78311338721270e-01,-9.80363490276558e-01
7.06606606606606e+07	-8.25078089409285e-02,5.38898360909201e-03	-1.80341728877441e-01,-9.80095440016938e-01
7.07207207207206e+07	-8.12893806871978e-02,5.31623052575442e-03	-1.82374185052362e-01,-9.79821490807512e-01
7.07807807807807e+07	-8.00679695348704e-02,5.23802137184370e-03	-1.84408688654410e-01,-9.79541614471335e-01
7.08408408408408e+07	-7.88435954694368e-02,5.15432661666193e-03	-1.86445220830015e-01,-9.79255782833244e-01
7.09009009009008e+07	-7.76162787367326e-02,5.06511674166971e-03	-1.88483762462379e-01,-9.78963967721978e-01
7.09609609609609e+07	-7.63860398441609e-02,4.97036224260305e-03	-1.90524294170203e-01,-9.78666140972331e-01
7.10210210210209e+07	-7.51528995618914e-02,4.87003363161342e-03	-1.92566796306443e-01,-9.78362274427321e-01
7.10810810810810e+07	-7.39168789240509e-02,4.76410143943062e-03	-1.94611248957061e-01,-9.78052339940385e-01
7.11411411411410e+07	-7.26779992299008e-02,4.65253621755179e-03	-1.96657631939804e-01,-9.77736309377601e-01
7.12012012012011e+07	-7.14362820450012e-02,4.53530854045492e-03	-1.98705924802986e-01,-9.77414154619938e-01
7.12612612612611e+07	-7.01917492023545e-02,4.41238900783641e-03	-2.00756106824296e-01,-9.77085847565527e-01
7.13213213213212e+07	-6.89444228035424e-02,4.28374824687294e-03	-2.02808157009609e-01,-9.76751360131953e-01
7.13813813813812e+07	-6.76943252198403e-02,4.14935691450796e-03	-2.04862054091823e-01,-9.76410664258583e-01
7.14414414414413e+07	-6.64414790933221e-02,4.00918569976361e-03	-2.06917776529704e-01,-9.76063731908909e-01
7.15015015015014e+07	-6.51859073379452e-02,3.86320532607520e-03	-2.08975302506752e-01,-9.75710535072920e-01
7.15615615615614e+07	-6.39276331406199e-02,3.71138655365288e-03	-2.11034609930078e-01,-9.75351045769497e-01
7.16216216216215e+07	-6.26666799622604e-02,3.55370018186463e-03	-2.13095676429307e-01,-9.74985236048841e-01
7.16816816816815e+07	-6.14030715388248e-02,3.39011705164660e-03	-2.15158479355486e-01,-9.74613077994909e-01
7.17417417417416e+07	-6.01368318823289e-02,3.22060804793611e-03	-2.17222995780024e-01,-9.74234543727895e-01
7.18018018018016e+07	-5.88679852818477e-02,3.04514410212842e-03	-2.19289202493635e-01,-9.73849605406721e-01
7.18618618618617e+07	-5.75965563044981e-02,2.86369619456067e-03	-2.21357076005312e-01,-9.73458235231558e-01
7.19219219219217e+07	-5.63225697963998e-02,2.67623535701816e-03	-2.23426592541314e-01,-9.73060405446374e-01
7.19819819819818e+07	-5.50460508836194e-02,2.48273267526283e-03	-2.25497728044171e-01,-9.72656088341503e-01
7.20420420420418e+07	-5.37670249730947e-02,2.28315929159056e-03	-2.27570458171713e-01,-9.72245256256239e-01
7.21021021021019e+07	-5.24855177535377e-02,2.07748640740885e-03	-2.29644758296119e-01,-9.71827881581460e-01
7.21621621621619e+07	-5.12015551963187e-02,1.86568528584030e-03	-2.31720603502979e-01,-9.71403936762265e-01
7.22222222222220e+07	-4.99151635563294e-02,1.64772725434925e-03	-2.33797968590390e-01,-9.70973394300651e-01
7.22822822822821e+07	-4.86263693728222e-02,1.42358370739282e-03	-2.35876828068059e-01,-9.70536226758199e-01
7.23423423423421e+07	-4.73351994702301e-02,1.19322610909522e-03	-2.37957156156443e-01,-9.70092406758796e-01
7.24024024024022e+07	-4.60416809589653e-02,9.56625995945592e-04	-2.40038926785896e-01,-9.69641906991376e-01
7.24624624624622e+07	-4.47458412361936e-02,7.13754979521641e-04	-2.42122113595851e-01,-9.69184700212681e-01
