Freq.	S11(v1)	S21(v1)
1.00000000000000e-02	1.30280300039869e-02,-1.26153338307079e-10	9.86971969996092e-01,-2.50770805783551e-10
3.00300310290290e+05	1.29994432301934e-02,-3.78819179921710e-03	9.86936068601798e-01,-7.53048580793721e-03
6.00600610580581e+05	1.29136962084317e-02,-7.57520242633583e-03	9.86828375994306e-01,-1.50599558798289e-02
9.00900910870871e+05	1.27708288145150e-02,-1.13598516681954e-02	9.86648926873432e-01,-2.25873956819241e-02
1.20120121116116e+06	1.25709074688258e-02,-1.51409605976738e-02	9.86397779031566e-01,-3.01117918301451e-02
1.50150151145145e+06	1.23140250775069e-02,-1.89173524035921e-02	9.86075013292887e-01,-3.76321330387288e-02
1.80180181174174e+06	1.20003009508092e-02,-2.26878530916715e-02	9.85680733428929e-01,-4.51474108152839e-02
2.10210211203203e+06	1.16298806974113e-02,-2.64512921815525e-02	9.85215066049315e-01,-5.26566201519058e-02
2.40240241232232e+06	1.12029360965551e-02,-3.02065033993938e-02	9.84678160469515e-01,-6.01587602118405e-02
2.70270271261261e+06	1.07196649469201e-02,-3.39523253645851e-02	9.84070188554522e-01,-6.76528350102440e-02
3.00300301290290e+06	1.01802908931621e-02,-3.76876022702244e-02	9.83391344539389e-01,-7.51378540886811e-02
3.30330331319319e+06	9.58506323039598e-03,-4.14111845558737e-02	9.82641844826880e-01,-8.26128331818562e-02
3.60360361348348e+06	8.93425668658532e-03,-4.51219295724609e-02	9.81821927762205e-01,-9.00767948764740e-02
3.90390391377377e+06	8.22817118395935e-03,-4.88187022376895e-02	9.80931853385952e-01,-9.75287692605368e-02
4.20420421406406e+06	7.46713157921852e-03,-5.25003756817136e-02	9.79971903164954e-01,-1.04967794562869e-01
4.50450451435435e+06	6.65148738308985e-03,-5.61658318821691e-02	9.78942379701663e-01,-1.12392917781949e-01
4.80480481464464e+06	5.78161246004161e-03,-5.98139622871860e-02	9.77843606422796e-01,-1.19803195302651e-01
5.10510511493494e+06	4.85790470873848e-03,-6.34436684269469e-02	9.76675927247887e-01,-1.27197693501448e-01
5.40540541522523e+06	3.88078572305672e-03,-6.70538625112738e-02	9.75439706237460e-01,-1.34575489337598e-01
5.70570571551552e+06	2.85070043555802e-03,-7.06434680142989e-02	9.74135327222809e-01,-1.41935670931279e-01
6.00600601580581e+06	1.76811674242128e-03,-7.42114202443045e-02	9.72763193416290e-01,-1.49277338126850e-01
6.30630631609610e+06	6.33525112186062e-04,-7.77566668986675e-02	9.71323727004510e-01,-1.56599603041061e-01
6.60660661638639e+06	-5.52561822314335e-04,-8.12781686032876e-02	9.69817368723768e-01,-1.63901590595658e-01
6.90690691667668e+06	-1.78960968775965e-03,-8.47748994354801e-02	9.68244577418770e-01,-1.71182439033329e-01
7.20720721696697e+06	-3.07706280832754e-03,-8.82458474308352e-02	9.66605829586263e-01,-1.78441300417438e-01
7.50750751725726e+06	-4.41434465877855e-03,-9.16900150718346e-02	9.64901618902468e-01,-1.85677341113409e-01
7.80780781754755e+06	-5.80085833013277e-03,-9.51064197597783e-02	9.63132455737029e-01,-1.92889742253221e-01
8.10810811783784e+06	-7.23598700855965e-03,-9.84940942679874e-02	9.61298866652644e-01,-2.00077700181024e-01
8.40840841812813e+06	-8.71909446554753e-03,-1.01852087176660e-01	9.59401393892406e-01,-2.07240426880174e-01
8.70870871841842e+06	-1.02495255594728e-02,-1.05179463288954e-01	9.57440594854682e-01,-2.14377150381326e-01
9.00900901870871e+06	-1.18266067472061e-02,-1.08475304027722e-01	9.55417041556853e-01,-2.21487115150913e-01
9.30930931899900e+06	-1.34496466049830e-02,-1.11738707813033e-01	9.53331320088715e-01,-2.28569582460180e-01
9.60960961928929e+06	-1.51179363581199e-02,-1.14968790419845e-01	9.51184030055894e-01,-2.35623830734115e-01
9.90990991957958e+06	-1.68307504180010e-02,-1.18164685315887e-01	9.48975784014856e-01,-2.42649155880260e-01
1.02102102198699e+07	-1.85873469263445e-02,-1.21325543979363e-01	9.46707206899454e-01,-2.49644871597094e-01
1.05105105201602e+07	-2.03869683050082e-02,-1.24450536196830e-01	9.44378935440789e-01,-2.56610309662184e-01
1.08108108204505e+07	-2.22288418116678e-02,-1.27538850340309e-01	9.41991617579929e-01,-2.63544820199313e-01
1.11111111207407e+07	-2.41121800990634e-02,-1.30589693624865e-01	9.39545911875917e-01,-2.70447771925594e-01
1.14114114210310e+07	-2.60361817783731e-02,-1.33602292345107e-01	9.37042486908304e-01,-2.77318552377180e-01
