Freq.	S11(v1)	S21(v1)
4.00000000000000e+07	-2.59673686764986e-01,-1.97991893850348e-01	5.31396931794838e-01,-7.57733165111574e-01
4.00900900900901e+07	-2.60162188448314e-01,-1.97520482199661e-01	5.29801327576136e-01,-7.58766901908032e-01
4.01801801801802e+07	-2.60646863084395e-01,-1.97045712752928e-01	5.28204093403060e-01,-7.59798449120456e-01
4.02702702702703e+07	-2.61127691192829e-01,-1.96567598713130e-01	5.26605222685421e-01,-7.60827813782921e-01
4.03603603603604e+07	-2.61604653291751e-01,-1.96086153341299e-01	5.25004708705654e-01,-7.61855002858859e-01
4.04504504504504e+07	-2.62077729897231e-01,-1.95601389956933e-01	5.23402544619022e-01,-7.62880023239986e-01
4.05405405405405e+07	-2.62546901522832e-01,-1.95113321938433e-01	5.21798723453707e-01,-7.63902881745307e-01
4.06306306306306e+07	-2.63012148679098e-01,-1.94621962723503e-01	5.20193238110940e-01,-7.64923585120053e-01
4.07207207207207e+07	-2.63473451873114e-01,-1.94127325809601e-01	5.18586081365101e-01,-7.65942140034682e-01
4.08108108108108e+07	-2.63930791607949e-01,-1.93629424754378e-01	5.16977245863892e-01,-7.66958553083788e-01
4.09009009009009e+07	-2.64384148382198e-01,-1.93128273176177e-01	5.15366724128469e-01,-7.67972830785096e-01
4.09909909909910e+07	-2.64833502689541e-01,-1.92623884754442e-01	5.13754508553519e-01,-7.68984979578398e-01
4.10810810810811e+07	-2.65278835018179e-01,-1.92116273230249e-01	5.12140591407482e-01,-7.69995005824487e-01
4.11711711711712e+07	-2.65720125850354e-01,-1.91605452406790e-01	5.10524964832679e-01,-7.71002915804090e-01
4.12612612612612e+07	-2.66157355661995e-01,-1.91091436149875e-01	5.08907620845385e-01,-7.72008715716876e-01
4.13513513513513e+07	-2.66590504922067e-01,-1.90574238388438e-01	5.07288551336079e-01,-7.73012411680284e-01
4.14414414414414e+07	-2.67019554092239e-01,-1.90053873115065e-01	5.05667748069506e-01,-7.74014009728536e-01
4.15315315315315e+07	-2.67444483626358e-01,-1.89530354386537e-01	5.04045202684871e-01,-7.75013515811532e-01
4.16216216216216e+07	-2.67865273969872e-01,-1.89003696324431e-01	5.02420906696089e-01,-7.76010935793743e-01
4.17117117117117e+07	-2.68281905559600e-01,-1.88473913115567e-01	5.00794851491737e-01,-7.77006275453189e-01
4.18018018018018e+07	-2.68694358823026e-01,-1.87941019012699e-01	4.99167028335439e-01,-7.77999540480287e-01
4.18918918918919e+07	-2.69102614178060e-01,-1.87405028334988e-01	4.97537428365824e-01,-7.78990736476818e-01
4.19819819819819e+07	-2.69506652032336e-01,-1.86865955468716e-01	4.95906042596925e-01,-7.79979868954761e-01
4.20720720720720e+07	-2.69906452782959e-01,-1.86323814867802e-01	4.94272861918169e-01,-7.80966943335247e-01
4.21621621621621e+07	-2.70301996815968e-01,-1.85778621054452e-01	4.92637877094631e-01,-7.81951964947430e-01
4.22522522522522e+07	-2.70693264505906e-01,-1.85230388619790e-01	4.91001078767203e-01,-7.82934939027377e-01
4.23423423423423e+07	-2.71080236215332e-01,-1.84679132224499e-01	4.89362457452801e-01,-7.83915870716929e-01
4.24324324324324e+07	-2.71462892294446e-01,-1.84124866599472e-01	4.87722003544514e-01,-7.84894765062616e-01
4.25225225225225e+07	-2.71841213080599e-01,-1.83567606546487e-01	4.86079707311836e-01,-7.85871627014505e-01
4.26126126126126e+07	-2.72215178897903e-01,-1.83007366938856e-01	4.84435558900816e-01,-7.86846461425070e-01
4.27027027027027e+07	-2.72584770056710e-01,-1.82444162722160e-01	4.82789548334336e-01,-7.87819273048035e-01
4.27927927927927e+07	-2.72949966853340e-01,-1.81878008914898e-01	4.81141665512200e-01,-7.88790066537285e-01
4.28828828828828e+07	-2.73310749569489e-01,-1.81308920609250e-01	4.79491900211464e-01,-7.89758846445647e-01
4.29729729729729e+07	-2.73667098471947e-01,-1.80736912971747e-01	4.77840242086540e-01,-7.90725617223786e-01
4.30630630630630e+07	-2.74018993812087e-01,-1.80162001244069e-01	4.76186680669504e-01,-7.91690383219014e-01
4.31531531531531e+07	-2.74366415825523e-01,-1.79584200743738e-01	4.74531205370244e-01,-7.92653148674140e-01
4.32432432432432e+07	-2.74709344731644e-01,-1.79003526864927e-01	4.72873805476743e-01,-7.93613917726284e-01
4.33333333333333e+07	-2.75047760733275e-01,-1.78419995079183e-01	4.71214470155254e-01,-7.94572694405704e-01
4.34234234234234e+07	-2.75381644016244e-01,-1.77833620936257e-01	4.69553188450569e-01,-7.95529482634616e-01
4.35135135135135e+07	-2.75710974749014e-01,-1.77244420064877e-01	4.67889949286240e-01,-7.96484286226006e-01
4.36036036036035e+07	-2.76035733082244e-01,-1.76652408173578e-01	4.66224741464854e-01,-7.97437108882404e-01
4.36936936936936e+07	-2.76355899148466e-01,-1.76057601051501e-01	4.64557553668241e-01,-7.98387954194710e-01
4.37837837837837e+07	-2.76671453061715e-01,-1.75460014569235e-01	4.62888374457728e-01,-7.99336825640983e-01
4.38738738738738e+07	-2.76982374917131e-01,-1.74859664679673e-01	4.61217192274408e-01,-8.00283726585221e-01
4.39639639639639e+07	-2.77288644790580e-01,-1.74256567418862e-01	4.59543995439418e-01,-8.01228660276115e-01
4.40540540540540e+07	-2.77590242738335e-01,-1.73650738906884e-01	4.57868772154180e-01,-8.02171629845857e-01
4.41441441441441e+07	-2.77887148796677e-01,-1.73042195348746e-01	4.56191510500704e-01,-8.03112638308868e-01
4.42342342342342e+07	-2.78179342981637e-01,-1.72430953035243e-01	4.54512198441799e-01,-8.04051688560600e-01
4.43243243243243e+07	-2.78466805288540e-01,-1.71817028343916e-01	4.52830823821447e-01,-8.04988783376232e-01
4.44144144144143e+07	-2.78749515691752e-01,-1.71200437739947e-01	4.51147374365028e-01,-8.05923925409457e-01
4.45045045045044e+07	-2.79027454144350e-01,-1.70581197777089e-01	4.49461837679618e-01,-8.06857117191206e-01
4.45945945945945e+07	-2.79300600577727e-01,-1.69959325098645e-01	4.47774201254344e-01,-8.07788361128351e-01
4.46846846846846e+07	-2.79568934901375e-01,-1.69334836438399e-01	4.46084452460616e-01,-8.08717659502474e-01
4.47747747747747e+07	-2.79832437002536e-01,-1.68707748621595e-01	4.44392578552472e-01,-8.09645014468549e-01
4.48648648648648e+07	-2.80091086745871e-01,-1.68078078565948e-01	4.42698566666920e-01,-8.10570428053655e-01
4.49549549549549e+07	-2.80344863973251e-01,-1.67445843282604e-01	4.41002403824197e-01,-8.11493902155695e-01
4.50450450450450e+07	-2.80593748503362e-01,-1.66811059877202e-01	4.39304076928183e-01,-8.12415438542056e-01
4.51351351351350e+07	-2.80837720131499e-01,-1.66173745550866e-01	4.37603572766688e-01,-8.13335038848318e-01
4.52252252252251e+07	-2.81076758629313e-01,-1.65533917601246e-01	4.35900878011775e-01,-8.14252704576936e-01
4.53153153153152e+07	-2.81310843744488e-01,-1.64891593423581e-01	4.34195979220157e-01,-8.15168437095890e-01
4.54054054054053e+07	-2.81539955200520e-01,-1.64246790511772e-01	4.32488862833539e-01,-8.16082237637362e-01
4.54954954954954e+07	-2.81764072696467e-01,-1.63599526459445e-01	4.30779515178973e-01,-8.16994107296381e-01
4.55855855855855e+07	-2.81983175906741e-01,-1.62949818961037e-01	4.29067922469210e-01,-8.17904047029491e-01
4.56756756756756e+07	-2.82197244480796e-01,-1.62297685812948e-01	4.27354070803153e-01,-8.18812057653352e-01
4.57657657657657e+07	-2.82406258043014e-01,-1.61643144914591e-01	4.25637946166138e-01,-8.19718139843411e-01
4.58558558558558e+07	-2.82610196192404e-01,-1.60986214269583e-01	4.23919534430419e-01,-8.20622294132489e-01
4.59459459459458e+07	-2.82809038502459e-01,-1.60326911986868e-01	4.22198821355513e-01,-8.21524520909428e-01
4.60360360360359e+07	-2.83002764520933e-01,-1.59665256281866e-01	4.20475792588632e-01,-8.22424820417670e-01
4.61261261261260e+07	-2.83191353769675e-01,-1.59001265477664e-01	4.18750433665085e-01,-8.23323192753875e-01
4.62162162162161e+07	-2.83374785744400e-01,-1.58334958006211e-01	4.17022730008751e-01,-8.24219637866480e-01
4.63063063063062e+07	-2.83553039914646e-01,-1.57666352409474e-01	4.15292666932414e-01,-8.25114155554333e-01
4.63963963963963e+07	-2.83726095723494e-01,-1.56995467340705e-01	4.13560229638305e-01,-8.26006745465214e-01
4.64864864864864e+07	-2.83893932587473e-01,-1.56322321565634e-01	4.11825403218507e-01,-8.26897407094414e-01
4.65765765765765e+07	-2.84056529896430e-01,-1.55646933963728e-01	4.10088172655418e-01,-8.27786139783299e-01
4.66666666666666e+07	-2.84213867013421e-01,-1.54969323529435e-01	4.08348522822214e-01,-8.28672942717856e-01
4.67567567567566e+07	-2.84365923274566e-01,-1.54289509373462e-01	4.06606438483338e-01,-8.29557814927223e-01
4.68468468468467e+07	-2.84512677988957e-01,-1.53607510724046e-01	4.04861904294983e-01,-8.30440755282214e-01
4.69369369369368e+07	-2.84654110438578e-01,-1.52923346928264e-01	4.03114904805589e-01,-8.31321762493848e-01
4.70270270270269e+07	-2.84790199878219e-01,-1.52237037453341e-01	4.01365424456348e-01,-8.32200835111861e-01
