Record Length,Analog:140
Sample Interval,CH:0.0000000020000
Vertical Units,CH1:V CH2:V CH3:V,,,
Vertical Scale,CH1:+2.000000E-01 CH2:+2.000000E-01 CH3:+2.000000E-01,,,
Vertical Offset,CH1:-5.840000E-01 CH2:-5.840000E-01 CH3:-5.840000E-01,,,
Horizontal Units,us,,,
Horizontal Scale,0.0200000000,,,
Model Number,SDS1104X-E,,,
Serial Number,SDSMMFCQ5R6893,,,
Software Version,8.1.6.1.35R2,,,
Source,CH1,CH2,CH3
Second,Volt,Volt,Volt
-6.600000E-08,-4.000002E-02,-4.800004E-02,+1.599997E-02
-6.400000E-08,-3.200006E-02,-4.000002E-02,+1.599997E-02
-6.200000E-08,-3.200006E-02,-4.000002E-02,+1.599997E-02
-6.000000E-08,-4.000002E-02,-4.000002E-02,+1.599997E-02
-5.800000E-08,-4.000002E-02,-4.000002E-02,+1.599997E-02
-5.600000E-08,-4.800004E-02,-4.000002E-02,+1.599997E-02
-5.400000E-08,-4.800004E-02,-4.000002E-02,+1.599997E-02
-5.200000E-08,-4.800004E-02,-4.000002E-02,+1.599997E-02
-5.000000E-08,-4.000002E-02,-4.000002E-02,+7.999957E-03
-4.800000E-08,-4.000002E-02,-4.000002E-02,+7.999957E-03
-4.600000E-08,-4.800004E-02,-4.000002E-02,+1.599997E-02
-4.400000E-08,-4.800004E-02,-4.800004E-02,+1.599997E-02
-4.200000E-08,-4.000002E-02,-4.800004E-02,+7.999957E-03
-4.000000E-08,-4.000002E-02,-4.000002E-02,+7.999957E-03
-3.800000E-08,-4.000002E-02,-4.000002E-02,+1.599997E-02
-3.600000E-08,-4.000002E-02,-3.200006E-02,+2.399999E-02
-3.400000E-08,-4.000002E-02,-4.000002E-02,+1.599997E-02
-3.200000E-08,-4.000002E-02,-4.800004E-02,+1.599997E-02
-3.000000E-08,-4.800004E-02,-4.800004E-02,+1.599997E-02
-2.800000E-08,-4.000002E-02,-4.000002E-02,+1.599997E-02
-2.600000E-08,-3.200006E-02,-4.000002E-02,+1.599997E-02
-2.400000E-08,-3.200006E-02,-4.800004E-02,+1.599997E-02
-2.200000E-08,-4.000002E-02,-4.800004E-02,+7.999957E-03
-2.000000E-08,-4.000002E-02,-4.000002E-02,+7.999957E-03
-1.800000E-08,-4.000002E-02,-3.200006E-02,+1.599997E-02
-1.600000E-08,-4.000002E-02,-3.200006E-02,+1.599997E-02
-1.400000E-08,-4.000002E-02,-4.000002E-02,+1.599997E-02
-1.200000E-08,-4.800004E-02,-4.000002E-02,+1.599997E-02
-1.000000E-08,-4.000002E-02,-4.000002E-02,+1.599997E-02
-8.000000E-09,-4.000002E-02,-4.800004E-02,+1.599997E-02
-6.000000E-09,-4.800004E-02,-4.800004E-02,+1.599997E-02
-4.000000E-09,-4.000002E-02,-4.000002E-02,+7.999957E-03
-2.000000E-09,+3.199995E-02,-4.000002E-02,+7.999957E-03
+0.000000E+00,+1.920000E-01,-4.000002E-02,+1.599997E-02
+2.000000E-09,+3.680000E-01,-4.000002E-02,+1.599997E-02
+4.000000E-09,+4.800000E-01,-4.800004E-02,+1.599997E-02
+6.000000E-09,+4.880000E-01,-4.800004E-02,+1.599997E-02
+8.000000E-09,+4.800000E-01,-4.800004E-02,+1.599997E-02
+1.000000E-08,+4.720000E-01,-4.800004E-02,+1.599997E-02
+1.200000E-08,+4.720000E-01,-4.800004E-02,+1.599997E-02
+1.400000E-08,+4.720000E-01,-4.000002E-02,+1.599997E-02
+1.600000E-08,+4.800000E-01,-8.000016E-03,+1.599997E-02
+1.800000E-08,+4.800000E-01,+1.120000E-01,+1.599997E-02
+2.000000E-08,+4.800000E-01,+2.880000E-01,+1.599997E-02
+2.200000E-08,+4.880000E-01,+4.320000E-01,+7.999957E-03
+2.400000E-08,+4.880000E-01,+4.800000E-01,+7.999957E-03
+2.600000E-08,+4.800000E-01,+4.800000E-01,+1.599997E-02
+2.800000E-08,+4.880000E-01,+4.720000E-01,+1.599997E-02
+3.000000E-08,+4.880000E-01,+4.720000E-01,+1.599997E-02
+3.200000E-08,+4.880000E-01,+4.800000E-01,+1.599997E-02
+3.400000E-08,+4.800000E-01,+4.880000E-01,+1.599997E-02
+3.600000E-08,+4.720000E-01,+4.960000E-01,+1.599997E-02
+3.800000E-08,+4.640000E-01,+5.280000E-01,+1.599997E-02
+4.000000E-08,+4.720000E-01,+5.760000E-01,+1.599997E-02
+4.200000E-08,+4.800000E-01,+6.160000E-01,+2.399999E-02
+4.400000E-08,+4.800000E-01,+6.320000E-01,+9.599996E-02
+4.600000E-08,+4.880000E-01,+6.400000E-01,+1.920000E-01
+4.800000E-08,+4.880000E-01,+6.400000E-01,+2.560000E-01
+5.000000E-08,+4.960000E-01,+6.400000E-01,+2.640000E-01
+5.200000E-08,+4.960000E-01,+6.400000E-01,+2.480000E-01
+5.400000E-08,+5.040000E-01,+6.400000E-01,+2.400000E-01
+5.600000E-08,+5.200000E-01,+6.400000E-01,+2.400000E-01
+5.800000E-08,+5.520000E-01,+6.320000E-01,+2.400000E-01
+6.000000E-08,+6.000000E-01,+6.320000E-01,+2.400000E-01
+6.200000E-08,+6.240000E-01,+6.400000E-01,+2.480000E-01
+6.400000E-08,+6.320000E-01,+6.400000E-01,+2.400000E-01
+6.600000E-08,+6.240000E-01,+6.320000E-01,+2.320000E-01
+6.800000E-08,+6.320000E-01,+6.240000E-01,+2.320000E-01
+7.000000E-08,+6.400000E-01,+6.160000E-01,+2.320000E-01
+7.200000E-08,+6.320000E-01,+5.760000E-01,+2.400000E-01
+7.400000E-08,+6.320000E-01,+5.200000E-01,+2.400000E-01
+7.600000E-08,+6.320000E-01,+4.640000E-01,+2.320000E-01
+7.800000E-08,+6.400000E-01,+4.320000E-01,+2.480000E-01
+8.000000E-08,+6.320000E-01,+4.240000E-01,+2.640000E-01
+8.200000E-08,+6.320000E-01,+4.240000E-01,+2.720000E-01
+8.400000E-08,+6.320000E-01,+4.160000E-01,+2.720000E-01
+8.600000E-08,+6.320000E-01,+4.160000E-01,+2.640000E-01
+8.800000E-08,+6.240000E-01,+4.160000E-01,+2.640000E-01
+9.000000E-08,+5.920000E-01,+4.160000E-01,+2.720000E-01
+9.200000E-08,+5.440000E-01,+4.160000E-01,+2.720000E-01
+9.400000E-08,+4.960000E-01,+4.320000E-01,+2.720000E-01
+9.600000E-08,+4.640000E-01,+4.400000E-01,+2.720000E-01
+9.800000E-08,+4.480000E-01,+4.320000E-01,+2.720000E-01
+1.000000E-07,+4.400000E-01,+4.240000E-01,+2.720000E-01
+1.020000E-07,+4.400000E-01,+4.160000E-01,+2.720000E-01
+1.040000E-07,+4.320000E-01,+4.160000E-01,+2.720000E-01
+1.060000E-07,+4.320000E-01,+4.080000E-01,+2.720000E-01
+1.080000E-07,+4.320000E-01,+4.080000E-01,+2.640000E-01
+1.100000E-07,+4.320000E-01,+4.080000E-01,+2.720000E-01
+1.120000E-07,+4.320000E-01,+4.080000E-01,+2.720000E-01
+1.140000E-07,+4.320000E-01,+4.080000E-01,+2.720000E-01
+1.160000E-07,+4.320000E-01,+4.080000E-01,+2.720000E-01
+1.180000E-07,+4.320000E-01,+4.000000E-01,+2.720000E-01
+1.200000E-07,+4.240000E-01,+3.920000E-01,+2.800000E-01
+1.220000E-07,+4.240000E-01,+3.920000E-01,+2.720000E-01
+1.240000E-07,+4.240000E-01,+3.920000E-01,+2.720000E-01
+1.260000E-07,+4.160000E-01,+3.920000E-01,+2.800000E-01
+1.280000E-07,+4.080000E-01,+3.840000E-01,+2.800000E-01
+1.300000E-07,+4.000000E-01,+3.920000E-01,+2.720000E-01
+1.320000E-07,+3.920000E-01,+3.920000E-01,+2.720000E-01
+1.340000E-07,+4.000000E-01,+3.920000E-01,+2.800000E-01
+1.360000E-07,+4.000000E-01,+3.840000E-01,+2.720000E-01
+1.380000E-07,+3.920000E-01,+3.920000E-01,+2.720000E-01
+1.400000E-07,+3.920000E-01,+3.920000E-01,+2.800000E-01
+1.420000E-07,+3.920000E-01,+3.840000E-01,+2.800000E-01
+1.440000E-07,+3.920000E-01,+3.840000E-01,+2.800000E-01
+1.460000E-07,+4.000000E-01,+3.760000E-01,+2.720000E-01
+1.480000E-07,+3.920000E-01,+3.840000E-01,+2.640000E-01
+1.500000E-07,+3.920000E-01,+3.840000E-01,+2.640000E-01
+1.520000E-07,+3.920000E-01,+3.840000E-01,+2.720000E-01
+1.540000E-07,+3.920000E-01,+3.760000E-01,+2.720000E-01
+1.560000E-07,+3.920000E-01,+3.760000E-01,+2.720000E-01
+1.580000E-07,+3.920000E-01,+3.840000E-01,+2.720000E-01
+1.600000E-07,+3.920000E-01,+3.840000E-01,+2.720000E-01
+1.620000E-07,+3.920000E-01,+3.840000E-01,+2.720000E-01
+1.640000E-07,+3.920000E-01,+3.760000E-01,+2.800000E-01
+1.660000E-07,+3.840000E-01,+3.760000E-01,+2.720000E-01
+1.680000E-07,+3.840000E-01,+3.840000E-01,+2.800000E-01
+1.700000E-07,+3.840000E-01,+3.840000E-01,+2.800000E-01
+1.720000E-07,+3.920000E-01,+3.840000E-01,+2.720000E-01
+1.740000E-07,+3.920000E-01,+3.840000E-01,+2.720000E-01
+1.760000E-07,+3.840000E-01,+3.840000E-01,+2.720000E-01
+1.780000E-07,+3.840000E-01,+3.760000E-01,+2.720000E-01
+1.800000E-07,+3.760000E-01,+3.760000E-01,+2.800000E-01
+1.820000E-07,+3.840000E-01,+3.840000E-01,+2.800000E-01
+1.840000E-07,+3.840000E-01,+3.840000E-01,+2.800000E-01
+1.860000E-07,+3.840000E-01,+3.760000E-01,+2.800000E-01
+1.880000E-07,+3.840000E-01,+3.840000E-01,+2.800000E-01
+1.900000E-07,+3.920000E-01,+3.840000E-01,+2.800000E-01
+1.920000E-07,+3.920000E-01,+3.760000E-01,+2.720000E-01
+1.940000E-07,+3.840000E-01,+3.760000E-01,+2.720000E-01
+1.960000E-07,+3.840000E-01,+3.840000E-01,+2.720000E-01
+1.980000E-07,+3.840000E-01,+3.840000E-01,+2.800000E-01
+2.000000E-07,+3.920000E-01,+3.840000E-01,+2.800000E-01
+2.020000E-07,+3.840000E-01,+3.840000E-01,+2.720000E-01
+2.040000E-07,+3.840000E-01,+3.840000E-01,+2.720000E-01
+2.060000E-07,+3.840000E-01,+3.840000E-01,+2.720000E-01
+2.080000E-07,+3.840000E-01,+3.840000E-01,+2.720000E-01
+2.100000E-07,+3.760000E-01,+3.840000E-01,+2.800000E-01
+2.120000E-07,+3.760000E-01,+3.760000E-01,+2.720000E-01
