Record Length,Analog:350
Sample Interval,CH:0.0000000020000
Vertical Units,CH1:V CH2:V CH4:V,,,
Vertical Scale,CH1:+1.000000E-01 CH2:+2.000000E-01 CH4:+1.000000E-01,,,
Vertical Offset,CH1:+0.000000E+00 CH2:+0.000000E+00 CH4:+0.000000E+00,,,
Horizontal Units,us,,,
Horizontal Scale,0.0500000000,,,
Model Number,SDS1104X-E,,,
Serial Number,SDSMMFCQ5R6893,,,
Software Version,8.1.6.1.35R2,,,
Source,CH1,CH2,CH4
Second,Volt,Volt,Volt
-2.332000E-07,+1.720000E-01,+1.280000E-01,-1.200000E-01
-2.312000E-07,+1.760000E-01,+1.360000E-01,-1.160000E-01
-2.292000E-07,+1.800000E-01,+1.520000E-01,-1.120000E-01
-2.272000E-07,+1.840000E-01,+1.680000E-01,-1.080000E-01
-2.252000E-07,+1.840000E-01,+1.920000E-01,-1.040000E-01
-2.232000E-07,+1.880000E-01,+2.080000E-01,-1.040000E-01
-2.212000E-07,+1.880000E-01,+2.160000E-01,-1.040000E-01
-2.192000E-07,+1.880000E-01,+2.240000E-01,-9.600000E-02
-2.172000E-07,+1.920000E-01,+2.480000E-01,-9.200001E-02
-2.152000E-07,+1.920000E-01,+2.640000E-01,-8.800001E-02
-2.132000E-07,+1.880000E-01,+2.640000E-01,-8.800001E-02
-2.112000E-07,+1.880000E-01,+2.800000E-01,-8.400001E-02
-2.092000E-07,+1.880000E-01,+2.880000E-01,-7.600001E-02
-2.072000E-07,+1.920000E-01,+3.040000E-01,-7.200000E-02
-2.052000E-07,+1.880000E-01,+3.120000E-01,-6.800000E-02
-2.032000E-07,+1.840000E-01,+3.200000E-01,-6.400000E-02
-2.012000E-07,+1.840000E-01,+3.280000E-01,-6.000000E-02
-1.992000E-07,+1.800000E-01,+3.360000E-01,-5.600000E-02
-1.972000E-07,+1.800000E-01,+3.520000E-01,-4.800000E-02
-1.952000E-07,+1.760000E-01,+3.600000E-01,-4.400000E-02
-1.932000E-07,+1.760000E-01,+3.600000E-01,-4.000000E-02
-1.912000E-07,+1.680000E-01,+3.680000E-01,-3.600000E-02
-1.892000E-07,+1.640000E-01,+3.760000E-01,-3.200000E-02
-1.872000E-07,+1.600000E-01,+3.760000E-01,-2.400000E-02
-1.852000E-07,+1.560000E-01,+3.760000E-01,-2.000000E-02
-1.832000E-07,+1.520000E-01,+3.840000E-01,-1.200000E-02
-1.812000E-07,+1.440000E-01,+3.920000E-01,-8.000000E-03
-1.792000E-07,+1.400000E-01,+3.920000E-01,-4.000000E-03
-1.772000E-07,+1.360000E-01,+3.840000E-01,+0.000000E+00
-1.752000E-07,+1.320000E-01,+3.920000E-01,+8.000000E-03
-1.732000E-07,+1.240000E-01,+3.920000E-01,+1.200000E-02
-1.712000E-07,+1.160000E-01,+3.920000E-01,+1.600000E-02
-1.692000E-07,+1.120000E-01,+3.920000E-01,+2.400000E-02
-1.672000E-07,+1.040000E-01,+3.760000E-01,+2.800000E-02
-1.652000E-07,+9.600000E-02,+3.760000E-01,+3.600000E-02
-1.632000E-07,+8.800001E-02,+3.840000E-01,+4.000000E-02
-1.612000E-07,+8.400001E-02,+3.760000E-01,+4.400000E-02
-1.592000E-07,+7.600001E-02,+3.680000E-01,+5.200000E-02
-1.572000E-07,+6.800000E-02,+3.680000E-01,+5.600000E-02
-1.552000E-07,+5.600000E-02,+3.600000E-01,+6.000000E-02
-1.532000E-07,+4.800000E-02,+3.520000E-01,+6.400000E-02
-1.512000E-07,+4.400000E-02,+3.440000E-01,+7.200000E-02
-1.492000E-07,+3.600000E-02,+3.360000E-01,+7.600001E-02
-1.472000E-07,+2.800000E-02,+3.200000E-01,+8.000001E-02
-1.452000E-07,+2.000000E-02,+3.120000E-01,+8.400001E-02
-1.432000E-07,+1.200000E-02,+3.040000E-01,+8.800001E-02
-1.412000E-07,+4.000000E-03,+3.040000E-01,+9.200001E-02
-1.392000E-07,-4.000000E-03,+2.880000E-01,+9.200001E-02
-1.372000E-07,-1.200000E-02,+2.720000E-01,+9.600000E-02
-1.352000E-07,-2.000000E-02,+2.640000E-01,+1.000000E-01
-1.332000E-07,-2.800000E-02,+2.480000E-01,+1.040000E-01
-1.312000E-07,-3.600000E-02,+2.320000E-01,+1.080000E-01
-1.292000E-07,-4.400000E-02,+2.160000E-01,+1.080000E-01
-1.272000E-07,-5.200000E-02,+2.080000E-01,+1.120000E-01
-1.252000E-07,-6.000000E-02,+1.920000E-01,+1.120000E-01
-1.232000E-07,-6.800000E-02,+1.760000E-01,+1.160000E-01
-1.212000E-07,-7.600001E-02,+1.600000E-01,+1.200000E-01
-1.192000E-07,-8.400001E-02,+1.520000E-01,+1.200000E-01
-1.172000E-07,-8.800001E-02,+1.360000E-01,+1.200000E-01
-1.152000E-07,-9.600000E-02,+1.120000E-01,+1.240000E-01
-1.132000E-07,-1.040000E-01,+9.600000E-02,+1.240000E-01
-1.112000E-07,-1.120000E-01,+8.800001E-02,+1.240000E-01
-1.092000E-07,-1.160000E-01,+7.200000E-02,+1.280000E-01
-1.072000E-07,-1.240000E-01,+4.800000E-02,+1.280000E-01
-1.052000E-07,-1.280000E-01,+3.200000E-02,+1.240000E-01
-1.032000E-07,-1.360000E-01,+1.600000E-02,+1.240000E-01
-1.012000E-07,-1.400000E-01,+8.000000E-03,+1.240000E-01
-9.920000E-08,-1.480000E-01,-8.000000E-03,+1.280000E-01
-9.720000E-08,-1.520000E-01,-3.200000E-02,+1.280000E-01
-9.520000E-08,-1.560000E-01,-4.800000E-02,+1.280000E-01
-9.320000E-08,-1.600000E-01,-6.400000E-02,+1.280000E-01
-9.120000E-08,-1.600000E-01,-8.000001E-02,+1.240000E-01
-8.920000E-08,-1.680000E-01,-9.600000E-02,+1.200000E-01
-8.720000E-08,-1.720000E-01,-1.120000E-01,+1.160000E-01
-8.520000E-08,-1.800000E-01,-1.280000E-01,+1.160000E-01
-8.320000E-08,-1.760000E-01,-1.360000E-01,+1.160000E-01
-8.120000E-08,-1.760000E-01,-1.520000E-01,+1.160000E-01
-7.920000E-08,-1.840000E-01,-1.680000E-01,+1.120000E-01
-7.720000E-08,-1.840000E-01,-1.840000E-01,+1.040000E-01
-7.520000E-08,-1.880000E-01,-1.920000E-01,+1.040000E-01
-7.320000E-08,-1.880000E-01,-2.080000E-01,+1.040000E-01
-7.120000E-08,-1.880000E-01,-2.320000E-01,+1.000000E-01
-6.920000E-08,-1.880000E-01,-2.400000E-01,+9.600000E-02
-6.720000E-08,-1.880000E-01,-2.560000E-01,+9.200001E-02
-6.520000E-08,-1.880000E-01,-2.720000E-01,+8.400001E-02
-6.320000E-08,-1.880000E-01,-2.800000E-01,+8.400001E-02
-6.120000E-08,-1.880000E-01,-2.880000E-01,+8.000001E-02
-5.920000E-08,-1.880000E-01,-3.040000E-01,+7.200000E-02
-5.720000E-08,-1.840000E-01,-3.120000E-01,+6.800000E-02
-5.520000E-08,-1.840000E-01,-3.200000E-01,+6.400000E-02
-5.320000E-08,-1.760000E-01,-3.280000E-01,+6.000000E-02
-5.120000E-08,-1.720000E-01,-3.440000E-01,+5.600000E-02
-4.920000E-08,-1.720000E-01,-3.440000E-01,+5.200000E-02
-4.720000E-08,-1.720000E-01,-3.520000E-01,+4.400000E-02
-4.520000E-08,-1.680000E-01,-3.520000E-01,+4.000000E-02
-4.320000E-08,-1.640000E-01,-3.600000E-01,+3.600000E-02
-4.120000E-08,-1.600000E-01,-3.680000E-01,+3.200000E-02
-3.920000E-08,-1.560000E-01,-3.680000E-01,+2.400000E-02
-3.720000E-08,-1.520000E-01,-3.760000E-01,+2.000000E-02
-3.520000E-08,-1.440000E-01,-3.760000E-01,+1.200000E-02
-3.320000E-08,-1.400000E-01,-3.840000E-01,+8.000000E-03
-3.120000E-08,-1.360000E-01,-3.760000E-01,+0.000000E+00
-2.920000E-08,-1.320000E-01,-3.760000E-01,-4.000000E-03
-2.720000E-08,-1.200000E-01,-3.840000E-01,-8.000000E-03
-2.520000E-08,-1.160000E-01,-3.840000E-01,-1.600000E-02
-2.320000E-08,-1.080000E-01,-3.840000E-01,-2.000000E-02
-2.120000E-08,-1.040000E-01,-3.840000E-01,-2.400000E-02
-1.920000E-08,-9.600000E-02,-3.760000E-01,-3.200000E-02
-1.720000E-08,-8.800001E-02,-3.680000E-01,-3.600000E-02
-1.520000E-08,-8.000001E-02,-3.600000E-01,-4.000000E-02
-1.320000E-08,-7.200000E-02,-3.600000E-01,-4.400000E-02
-1.120000E-08,-6.400000E-02,-3.600000E-01,-5.200000E-02
-9.200000E-09,-5.600000E-02,-3.520000E-01,-5.600000E-02
-7.200000E-09,-4.800000E-02,-3.440000E-01,-6.000000E-02
-5.200000E-09,-4.000000E-02,-3.360000E-01,-6.400000E-02
-3.200000E-09,-3.200000E-02,-3.280000E-01,-6.800000E-02
-1.200000E-09,-2.400000E-02,-3.200000E-01,-7.200000E-02
+8.000000E-10,-1.600000E-02,-3.040000E-01,-8.000001E-02
+2.800000E-09,-8.000000E-03,-3.040000E-01,-8.400001E-02
+4.800000E-09,+0.000000E+00,-2.880000E-01,-8.800001E-02
+6.800000E-09,+8.000000E-03,-2.800000E-01,-8.800001E-02
+8.800000E-09,+1.600000E-02,-2.640000E-01,-9.200001E-02
+1.080000E-08,+2.400000E-02,-2.480000E-01,-9.600000E-02
+1.280000E-08,+3.200000E-02,-2.400000E-01,-1.000000E-01
+1.480000E-08,+4.000000E-02,-2.240000E-01,-1.080000E-01
+1.680000E-08,+4.800000E-02,-2.160000E-01,-1.080000E-01
+1.880000E-08,+5.200000E-02,-2.000000E-01,-1.080000E-01
+2.080000E-08,+6.000000E-02,-1.840000E-01,-1.120000E-01
+2.280000E-08,+7.200000E-02,-1.680000E-01,-1.120000E-01
+2.480000E-08,+8.000001E-02,-1.520000E-01,-1.160000E-01
+2.680000E-08,+8.400001E-02,-1.360000E-01,-1.160000E-01
+2.880000E-08,+8.800001E-02,-1.200000E-01,-1.200000E-01
+3.080000E-08,+1.000000E-01,-1.040000E-01,-1.240000E-01
+3.280000E-08,+1.080000E-01,-8.800001E-02,-1.240000E-01
+3.480000E-08,+1.160000E-01,-7.200000E-02,-1.240000E-01
+3.680000E-08,+1.200000E-01,-6.400000E-02,-1.240000E-01
+3.880000E-08,+1.280000E-01,-4.800000E-02,-1.280000E-01
+4.080000E-08,+1.320000E-01,-3.200000E-02,-1.240000E-01
+4.280000E-08,+1.360000E-01,-1.600000E-02,-1.240000E-01
+4.480000E-08,+1.400000E-01,+8.000000E-03,-1.240000E-01
+4.680000E-08,+1.480000E-01,+2.400000E-02,-1.280000E-01
+4.880000E-08,+1.520000E-01,+4.800000E-02,-1.240000E-01
+5.080000E-08,+1.600000E-01,+6.400000E-02,-1.240000E-01
+5.280000E-08,+1.600000E-01,+7.200000E-02,-1.240000E-01
+5.480000E-08,+1.640000E-01,+8.800001E-02,-1.240000E-01
+5.680000E-08,+1.720000E-01,+1.040000E-01,-1.200000E-01
+5.880000E-08,+1.720000E-01,+1.200000E-01,-1.160000E-01
+6.080000E-08,+1.760000E-01,+1.360000E-01,-1.160000E-01
+6.280000E-08,+1.760000E-01,+1.520000E-01,-1.120000E-01
+6.480000E-08,+1.840000E-01,+1.680000E-01,-1.080000E-01
+6.680000E-08,+1.840000E-01,+1.840000E-01,-1.080000E-01
+6.880000E-08,+1.840000E-01,+2.000000E-01,-1.040000E-01
+7.080000E-08,+1.840000E-01,+2.080000E-01,-1.000000E-01
+7.280000E-08,+1.880000E-01,+2.160000E-01,-9.600000E-02
+7.480000E-08,+1.880000E-01,+2.400000E-01,-9.600000E-02
+7.680000E-08,+1.880000E-01,+2.480000E-01,-9.200001E-02
+7.880000E-08,+1.920000E-01,+2.640000E-01,-9.200001E-02
+8.080000E-08,+1.920000E-01,+2.720000E-01,-8.400001E-02
+8.280000E-08,+1.880000E-01,+2.880000E-01,-8.000001E-02
+8.480000E-08,+1.880000E-01,+2.960000E-01,-7.600001E-02
+8.680000E-08,+1.840000E-01,+3.120000E-01,-6.800000E-02
+8.880000E-08,+1.880000E-01,+3.200000E-01,-6.400000E-02
+9.080000E-08,+1.840000E-01,+3.280000E-01,-6.000000E-02
+9.280000E-08,+1.800000E-01,+3.360000E-01,-5.600000E-02
+9.480000E-08,+1.760000E-01,+3.440000E-01,-5.200000E-02
+9.680000E-08,+1.760000E-01,+3.520000E-01,-4.800000E-02
+9.880000E-08,+1.720000E-01,+3.680000E-01,-4.400000E-02
+1.008000E-07,+1.680000E-01,+3.680000E-01,-3.600000E-02
+1.028000E-07,+1.640000E-01,+3.680000E-01,-3.200000E-02
+1.048000E-07,+1.640000E-01,+3.840000E-01,-2.400000E-02
+1.068000E-07,+1.600000E-01,+3.840000E-01,-2.000000E-02
+1.088000E-07,+1.520000E-01,+3.840000E-01,-1.600000E-02
+1.108000E-07,+1.480000E-01,+3.760000E-01,-1.200000E-02
+1.128000E-07,+1.400000E-01,+3.840000E-01,-4.000000E-03
+1.148000E-07,+1.360000E-01,+3.840000E-01,+0.000000E+00
+1.168000E-07,+1.280000E-01,+3.840000E-01,+4.000000E-03
+1.188000E-07,+1.240000E-01,+3.920000E-01,+1.200000E-02
+1.208000E-07,+1.200000E-01,+3.840000E-01,+2.000000E-02
+1.228000E-07,+1.120000E-01,+3.840000E-01,+2.400000E-02
+1.248000E-07,+1.040000E-01,+3.760000E-01,+2.800000E-02
+1.268000E-07,+9.600000E-02,+3.840000E-01,+3.200000E-02
+1.288000E-07,+8.800001E-02,+3.920000E-01,+4.000000E-02
+1.308000E-07,+8.400001E-02,+3.840000E-01,+4.400000E-02
+1.328000E-07,+7.600001E-02,+3.680000E-01,+4.800000E-02
+1.348000E-07,+6.800000E-02,+3.600000E-01,+5.600000E-02
+1.368000E-07,+6.000000E-02,+3.600000E-01,+6.000000E-02
+1.388000E-07,+5.200000E-02,+3.520000E-01,+6.400000E-02
+1.408000E-07,+4.400000E-02,+3.440000E-01,+6.800000E-02
+1.428000E-07,+3.600000E-02,+3.440000E-01,+7.600001E-02
+1.448000E-07,+2.800000E-02,+3.360000E-01,+8.000001E-02
+1.468000E-07,+2.000000E-02,+3.200000E-01,+8.400001E-02
+1.488000E-07,+1.200000E-02,+3.120000E-01,+8.800001E-02
+1.508000E-07,+4.000000E-03,+2.960000E-01,+9.200001E-02
+1.528000E-07,-4.000000E-03,+2.880000E-01,+9.600000E-02
+1.548000E-07,-1.200000E-02,+2.720000E-01,+1.000000E-01
