Machine Module SVA1032X
Trace Name,Trace A
Meas Type,S11
Start Frequency,+7.000000000E+07
Stop Frequency,+1.300000000E+08
Format,Smith,Real/Imag
IFBW,1.000000e+04




Trace Data
Frequency,Formatted Data
7.000000e+07,8.457697e-03, -2.341469e-02
7.012024e+07,2.183698e-02, -2.895213e-02
7.024048e+07,1.161819e-02, -2.652813e-02
7.036072e+07,1.108641e-02, -2.553234e-02
7.048096e+07,1.209779e-02, -2.601795e-02
7.060120e+07,1.088549e-02, -2.577019e-02
7.072144e+07,9.168628e-03, -2.415578e-02
7.084168e+07,7.360638e-03, -2.780882e-02
7.096192e+07,9.329279e-03, -2.306032e-02
7.108216e+07,1.029149e-02, -2.810340e-02
7.120240e+07,1.092271e-02, -2.505915e-02
7.132265e+07,8.659385e-03, -2.611385e-02
7.144289e+07,5.551423e-03, -2.476196e-02
7.156313e+07,9.628921e-03, -2.365111e-02
7.168337e+07,1.227833e-02, -2.187505e-02
7.180361e+07,1.267190e-02, -2.531404e-02
7.192385e+07,8.315479e-03, -2.592744e-02
7.204409e+07,8.471974e-03, -2.736833e-02
7.216433e+07,5.674445e-03, -2.757862e-02
7.228457e+07,9.139863e-03, -2.897051e-02
7.240481e+07,7.837368e-03, -2.742724e-02
7.252505e+07,1.294752e-02, -2.453868e-02
7.264529e+07,6.207663e-03, -2.315782e-02
7.276553e+07,8.841610e-03, -2.540225e-02
7.288577e+07,1.155795e-02, -2.715807e-02
7.300601e+07,1.220337e-02, -2.292343e-02
7.312625e+07,1.021169e-02, -2.814859e-02
7.324649e+07,1.146005e-02, -2.754104e-02
7.336673e+07,7.790698e-03, -2.912103e-02
7.348697e+07,6.532617e-03, -2.644936e-02
7.360721e+07,6.781634e-03, -2.413140e-02
7.372745e+07,8.001964e-03, -2.555394e-02
7.384770e+07,9.064810e-03, -2.551656e-02
7.396794e+07,5.927046e-03, -2.802273e-02
7.408818e+07,9.632511e-03, -2.938973e-02
7.420842e+07,1.460236e-02, -3.480669e-02
7.432866e+07,1.233286e-02, -3.192964e-02
7.444890e+07,1.144833e-02, -2.849153e-02
7.456914e+07,9.871422e-03, -2.860909e-02
7.468938e+07,1.242467e-02, -2.891892e-02
7.480962e+07,9.919455e-03, -2.983807e-02
7.492986e+07,1.068462e-02, -2.806964e-02
7.505010e+07,1.053534e-02, -3.391568e-02
7.517034e+07,5.623768e-03, -3.168908e-02
7.529058e+07,1.093924e-02, -2.997396e-02
7.541082e+07,1.135896e-02, -2.770206e-02
7.553106e+07,9.799470e-03, -2.875205e-02
7.565130e+07,1.085251e-02, -3.434933e-02
7.577154e+07,5.835123e-03, -3.363561e-02
7.589178e+07,7.562284e-03, -3.492181e-02
7.601202e+07,8.271073e-03, -3.255370e-02
7.613226e+07,9.045255e-03, -3.117243e-02
7.625251e+07,8.788636e-03, -3.129932e-02
7.637275e+07,8.971346e-03, -2.908170e-02
7.649299e+07,5.261815e-03, -3.013319e-02
7.661323e+07,4.974957e-03, -2.673555e-02
7.673347e+07,8.057953e-03, -2.954439e-02
7.685371e+07,9.179544e-03, -2.635826e-02
7.697395e+07,1.487464e-02, -3.034662e-02
7.709419e+07,1.123616e-02, -2.954274e-02
7.721443e+07,8.110252e-03, -3.146554e-02
7.733467e+07,5.618234e-03, -3.213456e-02
7.745491e+07,4.934340e-03, -3.281830e-02
7.757515e+07,7.207636e-03, -3.150005e-02
7.769539e+07,1.066190e-02, -3.309686e-02
7.781563e+07,5.834392e-03, -3.327352e-02
7.793587e+07,1.132611e-02, -3.082990e-02
7.805611e+07,8.409614e-03, -2.826350e-02
