Record Length,Analog:14
Sample Interval,CH:0.0000000020000
Vertical Units,CH1:V CH2:V,,,
Vertical Scale,CH1:+2.000000E-01 CH2:+2.000000E-01,,,
Vertical Offset,CH1:-6.000000E-01 CH2:-6.000000E-01,,,
Horizontal Units,us,,,
Horizontal Scale,0.0020000000,,,
Model Number,SDS1104X-E,,,
Serial Number,SDSMMFCQ5R6893,,,
Software Version,8.1.6.1.35R2,,,
Source,CH1,CH2
Second,Volt,Volt
-9.800000E-09,+0.000000E+00,-1.600003E-02
-7.800000E-09,+0.000000E+00,-1.600003E-02
-5.800000E-09,-8.000016E-03,-8.000016E-03
-3.800000E-09,-8.000016E-03,-8.000016E-03
-1.800000E-09,+4.000002E-02,-8.000016E-03
+2.000000E-10,+1.840000E-01,-1.600003E-02
+2.200000E-09,+3.600000E-01,+2.399999E-02
+4.200000E-09,+4.880000E-01,+2.080000E-01
+6.200000E-09,+5.200000E-01,+5.280000E-01
+8.200000E-09,+5.440000E-01,+8.240000E-01
+1.020000E-08,+6.480000E-01,+9.680001E-01
+1.220000E-08,+8.000000E-01,+9.920000E-01
+1.420000E-08,+9.280000E-01,+9.760001E-01
+1.620000E-08,+9.760001E-01,+9.760001E-01
