Freq.	-V(reflectedwaveover20)/V(minusincidentwaveover20)
7.00000000000000e+07	6.64333887561523e-01,-1.41155185892984e-01
7.00060006000600e+07	6.64331292575876e-01,-1.41167490849705e-01
7.00120012001200e+07	6.64328697370851e-01,-1.41179795726187e-01
7.00180018001800e+07	6.64326101946450e-01,-1.41192100522435e-01
7.00240024002400e+07	6.64323506302674e-01,-1.41204405238453e-01
7.00300030003000e+07	6.64320910439522e-01,-1.41216709874245e-01
7.00360036003600e+07	6.64318314356998e-01,-1.41229014429818e-01
7.00420042004200e+07	6.64315718055101e-01,-1.41241318905174e-01
7.00480048004800e+07	6.64313121533832e-01,-1.41253623300318e-01
7.00540054005400e+07	6.64310524793193e-01,-1.41265927615257e-01
7.00600060006000e+07	6.64307927833184e-01,-1.41278231849993e-01
7.00660066006600e+07	6.64305330653805e-01,-1.41290536004531e-01
7.00720072007200e+07	6.64302733255060e-01,-1.41302840078876e-01
7.00780078007800e+07	6.64300135636946e-01,-1.41315144073032e-01
7.00840084008400e+07	6.64297537799467e-01,-1.41327447987004e-01
7.00900090009000e+07	6.64294939742622e-01,-1.41339751820798e-01
7.00960096009600e+07	6.64292341466413e-01,-1.41352055574415e-01
7.01020102010200e+07	6.64289742970841e-01,-1.41364359247863e-01
7.01080108010800e+07	6.64287144255906e-01,-1.41376662841144e-01
7.01140114011400e+07	6.64284545321609e-01,-1.41388966354264e-01
7.01200120012000e+07	6.64281946167951e-01,-1.41401269787227e-01
7.01260126012600e+07	6.64279346794935e-01,-1.41413573140039e-01
7.01320132013200e+07	6.64276747202559e-01,-1.41425876412702e-01
7.01380138013800e+07	6.64274147390825e-01,-1.41438179605222e-01
7.01440144014400e+07	6.64271547359734e-01,-1.41450482717603e-01
7.01500150015000e+07	6.64268947109287e-01,-1.41462785749851e-01
7.01560156015600e+07	6.64266346639485e-01,-1.41475088701968e-01
7.01620162016200e+07	6.64263745950329e-01,-1.41487391573960e-01
7.01680168016800e+07	6.64261145041820e-01,-1.41499694365832e-01
7.01740174017400e+07	6.64258543913958e-01,-1.41511997077587e-01
7.01800180018000e+07	6.64255942566744e-01,-1.41524299709231e-01
7.01860186018600e+07	6.64253341000180e-01,-1.41536602260768e-01
7.01920192019200e+07	6.64250739214266e-01,-1.41548904732202e-01
7.01980198019800e+07	6.64248137209004e-01,-1.41561207123538e-01
7.02040204020400e+07	6.64245534984394e-01,-1.41573509434780e-01
7.02100210021000e+07	6.64242932540436e-01,-1.41585811665933e-01
7.02160216021600e+07	6.64240329877133e-01,-1.41598113817002e-01
7.02220222022200e+07	6.64237726994484e-01,-1.41610415887989e-01
7.02280228022800e+07	6.64235123892492e-01,-1.41622717878902e-01
7.02340234023400e+07	6.64232520571157e-01,-1.41635019789743e-01
7.02400240024000e+07	6.64229917030479e-01,-1.41647321620517e-01
7.02460246024600e+07	6.64227313270459e-01,-1.41659623371229e-01
7.02520252025200e+07	6.64224709291099e-01,-1.41671925041884e-01
7.02580258025800e+07	6.64222105092400e-01,-1.41684226632485e-01
7.02640264026400e+07	6.64219500674361e-01,-1.41696528143037e-01
7.02700270027000e+07	6.64216896036986e-01,-1.41708829573544e-01
7.02760276027600e+07	6.64214291180274e-01,-1.41721130924012e-01
7.02820282028200e+07	6.64211686104225e-01,-1.41733432194444e-01
7.02880288028800e+07	6.64209080808841e-01,-1.41745733384845e-01
7.02940294029400e+07	6.64206475294123e-01,-1.41758034495219e-01
7.03000300030001e+07	6.64203869560073e-01,-1.41770335525571e-01
7.03060306030601e+07	6.64201263606690e-01,-1.41782636475905e-01
7.03120312031201e+07	6.64198657433976e-01,-1.41794937346227e-01
7.03180318031801e+07	6.64196051041930e-01,-1.41807238136539e-01
7.03240324032401e+07	6.64193444430557e-01,-1.41819538846847e-01
7.03300330033001e+07	6.64190837599854e-01,-1.41831839477154e-01
7.03360336033601e+07	6.64188230549824e-01,-1.41844140027466e-01
7.03420342034201e+07	6.64185623280466e-01,-1.41856440497787e-01
7.03480348034801e+07	6.64183015791784e-01,-1.41868740888122e-01
7.03540354035401e+07	6.64180408083776e-01,-1.41881041198474e-01
7.03600360036001e+07	6.64177800156445e-01,-1.41893341428848e-01
7.03660366036601e+07	6.64175192009790e-01,-1.41905641579249e-01
7.03720372037201e+07	6.64172583643813e-01,-1.41917941649680e-01
7.03780378037801e+07	6.64169975058515e-01,-1.41930241640147e-01
7.03840384038401e+07	6.64167366253897e-01,-1.41942541550654e-01
7.03900390039001e+07	6.64164757229959e-01,-1.41954841381205e-01
7.03960396039601e+07	6.64162147986703e-01,-1.41967141131804e-01
7.04020402040201e+07	6.64159538524130e-01,-1.41979440802457e-01
7.04080408040801e+07	6.64156928842239e-01,-1.41991740393166e-01
7.04140414041401e+07	6.64154318941033e-01,-1.42004039903938e-01
7.04200420042001e+07	6.64151708820513e-01,-1.42016339334776e-01
7.04260426042601e+07	6.64149098480678e-01,-1.42028638685684e-01
7.04320432043201e+07	6.64146487921531e-01,-1.42040937956667e-01
7.04380438043801e+07	6.64143877143072e-01,-1.42053237147729e-01
7.04440444044401e+07	6.64141266145301e-01,-1.42065536258875e-01
7.04500450045001e+07	6.64138654928221e-01,-1.42077835290109e-01
7.04560456045601e+07	6.64136043491831e-01,-1.42090134241436e-01
7.04620462046201e+07	6.64133431836133e-01,-1.42102433112859e-01
7.04680468046801e+07	6.64130819961127e-01,-1.42114731904383e-01
7.04740474047401e+07	6.64128207866815e-01,-1.42127030616013e-01
7.04800480048001e+07	6.64125595553197e-01,-1.42139329247753e-01
7.04860486048601e+07	6.64122983020275e-01,-1.42151627799607e-01
7.04920492049201e+07	6.64120370268048e-01,-1.42163926271579e-01
7.04980498049801e+07	6.64117757296519e-01,-1.42176224663675e-01
7.05040504050401e+07	6.64115144105689e-01,-1.42188522975898e-01
7.05100510051001e+07	6.64112530695557e-01,-1.42200821208253e-01
7.05160516051601e+07	6.64109917066126e-01,-1.42213119360743e-01
7.05220522052201e+07	6.64107303217394e-01,-1.42225417433374e-01
7.05280528052801e+07	6.64104689149365e-01,-1.42237715426149e-01
7.05340534053401e+07	6.64102074862039e-01,-1.42250013339074e-01
7.05400540054001e+07	6.64099460355416e-01,-1.42262311172152e-01
7.05460546054601e+07	6.64096845629498e-01,-1.42274608925386e-01
7.05520552055201e+07	6.64094230684285e-01,-1.42286906598784e-01
7.05580558055801e+07	6.64091615519778e-01,-1.42299204192348e-01
7.05640564056401e+07	6.64089000135980e-01,-1.42311501706082e-01
7.05700570057001e+07	6.64086384532889e-01,-1.42323799139991e-01
7.05760576057601e+07	6.64083768710508e-01,-1.42336096494080e-01
7.05820582058201e+07	6.64081152668836e-01,-1.42348393768352e-01
7.05880588058801e+07	6.64078536407875e-01,-1.42360690962812e-01
7.05940594059401e+07	6.64075919927626e-01,-1.42372988077464e-01
7.06000600060001e+07	6.64073303228091e-01,-1.42385285112313e-01
7.06060606060601e+07	6.64070686309269e-01,-1.42397582067363e-01
7.06120612061201e+07	6.64068069171161e-01,-1.42409878942617e-01
7.06180618061801e+07	6.64065451813770e-01,-1.42422175738081e-01
7.06240624062401e+07	6.64062834237094e-01,-1.42434472453759e-01
7.06300630063001e+07	6.64060216441136e-01,-1.42446769089654e-01
7.06360636063601e+07	6.64057598425897e-01,-1.42459065645772e-01
7.06420642064201e+07	6.64054980191377e-01,-1.42471362122117e-01
7.06480648064801e+07	6.64052361737576e-01,-1.42483658518692e-01
7.06540654065401e+07	6.64049743064498e-01,-1.42495954835503e-01
7.06600660066001e+07	6.64047124172141e-01,-1.42508251072552e-01
7.06660666066601e+07	6.64044505060507e-01,-1.42520547229845e-01
7.06720672067201e+07	6.64041885729597e-01,-1.42532843307387e-01
7.06780678067801e+07	6.64039266179411e-01,-1.42545139305181e-01
7.06840684068401e+07	6.64036646409952e-01,-1.42557435223231e-01
7.06900690069001e+07	6.64034026421219e-01,-1.42569731061542e-01
7.06960696069601e+07	6.64031406213214e-01,-1.42582026820117e-01
7.07020702070201e+07	6.64028785785937e-01,-1.42594322498962e-01
7.07080708070801e+07	6.64026165139390e-01,-1.42606618098081e-01
7.07140714071401e+07	6.64023544273573e-01,-1.42618913617478e-01
7.07200720072001e+07	6.64020923188488e-01,-1.42631209057156e-01
7.07260726072601e+07	6.64018301884134e-01,-1.42643504417120e-01
7.07320732073201e+07	6.64015680360513e-01,-1.42655799697375e-01
7.07380738073801e+07	6.64013058617626e-01,-1.42668094897925e-01
7.07440744074401e+07	6.64010436655475e-01,-1.42680390018774e-01
7.07500750075001e+07	6.64007814474059e-01,-1.42692685059926e-01
7.07560756075601e+07	6.64005192073380e-01,-1.42704980021385e-01
7.07620762076201e+07	6.64002569453439e-01,-1.42717274903157e-01
7.07680768076801e+07	6.63999946614237e-01,-1.42729569705243e-01
7.07740774077401e+07	6.63997323555774e-01,-1.42741864427650e-01
7.07800780078001e+07	6.63994700278051e-01,-1.42754159070382e-01
7.07860786078601e+07	6.63992076781070e-01,-1.42766453633443e-01
7.07920792079201e+07	6.63989453064831e-01,-1.42778748116835e-01
