Freq.	-V(reflectedwaveover20)/V(minusincidentwaveover20)
8.00000000000000e+08	4.92226407426994e-01,-8.61443511036802e-01
8.00040004000400e+08	4.90420702197951e-01,-8.62483304176994e-01
8.00080008000800e+08	4.88612822223745e-01,-8.63519312291483e-01
8.00120012001200e+08	4.86802775439370e-01,-8.64551530830278e-01
8.00160016001600e+08	4.84990569789322e-01,-8.65579955259980e-01
8.00200020002000e+08	4.83176213227590e-01,-8.66604581063881e-01
8.00240024002400e+08	4.81359713717648e-01,-8.67625403741940e-01
8.00280028002800e+08	4.79541079232345e-01,-8.68642418810811e-01
8.00320032003201e+08	4.77720317753945e-01,-8.69655621803882e-01
8.00360036003601e+08	4.75897437274063e-01,-8.70665008271258e-01
8.00400040004001e+08	4.74072445793624e-01,-8.71670573779828e-01
8.00440044004401e+08	4.72245351322820e-01,-8.72672313913216e-01
8.00480048004801e+08	4.70416161881111e-01,-8.73670224271905e-01
8.00520052005201e+08	4.68584885497153e-01,-8.74664300473136e-01
8.00560056005601e+08	4.66751530208794e-01,-8.75654538151030e-01
8.00600060006001e+08	4.64916104063007e-01,-8.76640932956531e-01
8.00640064006401e+08	4.63078615115855e-01,-8.77623480557471e-01
8.00680068006801e+08	4.61239071432500e-01,-8.78602176638562e-01
8.00720072007201e+08	4.59397481087118e-01,-8.79577016901464e-01
8.00760076007601e+08	4.57553852162884e-01,-8.80547997064720e-01
8.00800080008001e+08	4.55708192751935e-01,-8.81515112863860e-01
8.00840084008401e+08	4.53860510955366e-01,-8.82478360051367e-01
8.00880088008801e+08	4.52010814883106e-01,-8.83437734396707e-01
8.00920092009202e+08	4.50159112653989e-01,-8.84393231686369e-01
8.00960096009602e+08	4.48305412395646e-01,-8.85344847723862e-01
8.01000100010002e+08	4.46449722244491e-01,-8.86292578329714e-01
8.01040104010402e+08	4.44592050345682e-01,-8.87236419341544e-01
8.01080108010802e+08	4.42732404853108e-01,-8.88176366614025e-01
8.01120112011202e+08	4.40870793929322e-01,-8.89112416018968e-01
8.01160116011602e+08	4.39007225745539e-01,-8.90044563445267e-01
8.01200120012002e+08	4.37141708481519e-01,-8.90972804798946e-01
8.01240124012402e+08	4.35274250325671e-01,-8.91897136003207e-01
8.01280128012802e+08	4.33404859474881e-01,-8.92817552998412e-01
8.01320132013202e+08	4.31533544134571e-01,-8.93734051742098e-01
8.01360136013602e+08	4.29660312518570e-01,-8.94646628209033e-01
8.01400140014002e+08	4.27785172849181e-01,-8.95555278391181e-01
8.01440144014402e+08	4.25908133357091e-01,-8.96459998297785e-01
8.01480148014802e+08	4.24029202281296e-01,-8.97360783955289e-01
8.01520152015203e+08	4.22148387869161e-01,-8.98257631407472e-01
8.01560156015603e+08	4.20265698376305e-01,-8.99150536715378e-01
8.01600160016003e+08	4.18381142066595e-01,-9.00039495957376e-01
8.01640164016403e+08	4.16494727212106e-01,-9.00924505229141e-01
8.01680168016803e+08	4.14606462093096e-01,-9.01805560643733e-01
8.01720172017203e+08	4.12716354997921e-01,-9.02682658331510e-01
8.01760176017603e+08	4.10824414223078e-01,-9.03555794440293e-01
8.01800180018003e+08	4.08930648073097e-01,-9.04424965135230e-01
8.01840184018403e+08	4.07035064860541e-01,-9.05290166598924e-01
8.01880188018803e+08	4.05137672905965e-01,-9.06151395031378e-01
8.01920192019203e+08	4.03238480537872e-01,-9.07008646650075e-01
8.01960196019603e+08	4.01337496092721e-01,-9.07861917689949e-01
8.02000200020003e+08	3.99434727914762e-01,-9.08711204403407e-01
8.02040204020403e+08	3.97530184356171e-01,-9.09556503060360e-01
8.02080208020803e+08	3.95623873776864e-01,-9.10397809948225e-01
8.02120212021204e+08	3.93715804544593e-01,-9.11235121371961e-01
8.02160216021604e+08	3.91805985034790e-01,-9.12068433654068e-01
8.02200220022004e+08	3.89894423630593e-01,-9.12897743134601e-01
8.02240224022404e+08	3.87981128722796e-01,-9.13723046171202e-01
8.02280228022804e+08	3.86066108709859e-01,-9.14544339139119e-01
8.02320232023204e+08	3.84149371997749e-01,-9.15361618431182e-01
8.02360236023604e+08	3.82230927000061e-01,-9.16174880457869e-01
8.02400240024004e+08	3.80310782137832e-01,-9.16984121647305e-01
8.02440244024404e+08	3.78388945839604e-01,-9.17789338445242e-01
8.02480248024804e+08	3.76465426541380e-01,-9.18590527315158e-01
8.02520252025204e+08	3.74540232686504e-01,-9.19387684738155e-01
8.02560256025604e+08	3.72613372725709e-01,-9.20180807213084e-01
8.02600260026004e+08	3.70684855117069e-01,-9.20969891256499e-01
8.02640264026404e+08	3.68754688325953e-01,-9.21754933402713e-01
8.02680268026804e+08	3.66822880824944e-01,-9.22535930203772e-01
8.02720272027205e+08	3.64889441093867e-01,-9.23312878229480e-01
8.02760276027605e+08	3.62954377619699e-01,-9.24085774067435e-01
8.02800280028005e+08	3.61017698896586e-01,-9.24854614323018e-01
8.02840284028405e+08	3.59079413425743e-01,-9.25619395619447e-01
8.02880288028805e+08	3.57139529715478e-01,-9.26380114597738e-01
8.02920292029205e+08	3.55198056281088e-01,-9.27136767916754e-01
8.02960296029605e+08	3.53255001644928e-01,-9.27889352253235e-01
8.03000300030005e+08	3.51310374336246e-01,-9.28637864301779e-01
8.03040304030405e+08	3.49364182891211e-01,-9.29382300774837e-01
8.03080308030805e+08	3.47416435852877e-01,-9.30122658402814e-01
8.03120312031205e+08	3.45467141771134e-01,-9.30858933933979e-01
8.03160316031605e+08	3.43516309202700e-01,-9.31591124134578e-01
8.03200320032005e+08	3.41563946711016e-01,-9.32319225788747e-01
8.03240324032405e+08	3.39610062866278e-01,-9.33043235698619e-01
8.03280328032805e+08	3.37654666245350e-01,-9.33763150684272e-01
8.03320332033206e+08	3.35697765431739e-01,-9.34478967583773e-01
8.03360336033606e+08	3.33739369015627e-01,-9.35190683253208e-01
8.03400340034006e+08	3.31779485593726e-01,-9.35898294566675e-01
8.03440344034406e+08	3.29818123769268e-01,-9.36601798416247e-01
8.03480348034806e+08	3.27855292152005e-01,-9.37301191712097e-01
8.03520352035206e+08	3.25890999358180e-01,-9.37996471382430e-01
8.03560356035606e+08	3.23925254010390e-01,-9.38687634373497e-01
8.03600360036006e+08	3.21958064737686e-01,-9.39374677649654e-01
8.03640364036406e+08	3.19989440175434e-01,-9.40057598193352e-01
8.03680368036806e+08	3.18019388965330e-01,-9.40736393005126e-01
8.03720372037206e+08	3.16047919755312e-01,-9.41411059103662e-01
8.03760376037606e+08	3.14075041199583e-01,-9.42081593525753e-01
8.03800380038006e+08	3.12100761958533e-01,-9.42747993326363e-01
8.03840384038406e+08	3.10125090698694e-01,-9.43410255578578e-01
8.03880388038806e+08	3.08148036092752e-01,-9.44068377373702e-01
8.03920392039207e+08	3.06169606819435e-01,-9.44722355821187e-01
8.03960396039607e+08	3.04189811563526e-01,-9.45372188048697e-01
8.04000400040007e+08	3.02208659015851e-01,-9.46017871202111e-01
8.04040404040407e+08	3.00226157873140e-01,-9.46659402445521e-01
8.04080408040807e+08	2.98242316838145e-01,-9.47296778961279e-01
8.04120412041207e+08	2.96257144619378e-01,-9.47929997949939e-01
8.04160416041607e+08	2.94270649931325e-01,-9.48559056630360e-01
8.04200420042007e+08	2.92282841494214e-01,-9.49183952239648e-01
8.04240424042407e+08	2.90293728034093e-01,-9.49804682033206e-01
8.04280428042807e+08	2.88303318282719e-01,-9.50421243284735e-01
8.04320432043207e+08	2.86311620977562e-01,-9.51033633286222e-01
8.04360436043607e+08	2.84318644861708e-01,-9.51641849347990e-01
8.04400440044007e+08	2.82324398683950e-01,-9.52245888798709e-01
8.04440444044407e+08	2.80328891198605e-01,-9.52845748985381e-01
8.04480448044807e+08	2.78332131165544e-01,-9.53441427273348e-01
8.04520452045208e+08	2.76334127350170e-01,-9.54032921046354e-01
8.04560456045608e+08	2.74334888523334e-01,-9.54620227706502e-01
8.04600460046008e+08	2.72334423461293e-01,-9.55203344674274e-01
8.04640464046408e+08	2.70332740945729e-01,-9.55782269388561e-01
8.04680468046808e+08	2.68329849763672e-01,-9.56356999306687e-01
8.04720472047208e+08	2.66325758707475e-01,-9.56927531904374e-01
8.04760476047608e+08	2.64320476574721e-01,-9.57493864675798e-01
8.04800480048008e+08	2.62314012168283e-01,-9.58055995133569e-01
8.04840484048408e+08	2.60306374296238e-01,-9.58613920808794e-01
8.04880488048808e+08	2.58297571771752e-01,-9.59167639250969e-01
8.04920492049208e+08	2.56287613413166e-01,-9.59717148028138e-01
8.04960496049608e+08	2.54276508043909e-01,-9.60262444726811e-01
8.05000500050008e+08	2.52264264492402e-01,-9.60803526951983e-01
8.05040504050408e+08	2.50250891592124e-01,-9.61340392327196e-01
8.05080508050808e+08	2.48236398181507e-01,-9.61873038494493e-01
8.05120512051208e+08	2.46220793103877e-01,-9.62401463114440e-01
8.05160516051609e+08	2.44204085207505e-01,-9.62925663866163e-01
8.05200520052009e+08	2.42186283345429e-01,-9.63445638447326e-01
8.05240524052409e+08	2.40167396375592e-01,-9.63961384574175e-01
8.05280528052809e+08	2.38147433160621e-01,-9.64472899981502e-01
8.05320532053209e+08	2.36126402567948e-01,-9.64980182422709e-01
8.05360536053609e+08	2.34104313469641e-01,-9.65483229669772e-01
8.05400540054009e+08	2.32081174742442e-01,-9.65982039513254e-01
8.05440544054409e+08	2.30056995267700e-01,-9.66476609762371e-01
8.05480548054809e+08	2.28031783931397e-01,-9.66966938244957e-01
8.05520552055209e+08	2.26005549623948e-01,-9.67453022807430e-01
8.05560556055609e+08	2.23978301240363e-01,-9.67934861314898e-01
8.05600560056009e+08	2.21950047680063e-01,-9.68412451651107e-01
8.05640564056409e+08	2.19920797846857e-01,-9.68885791718425e-01
8.05680568056809e+08	2.17890560649009e-01,-9.69354879437958e-01
8.05720572057209e+08	2.15859344999057e-01,-9.69819712749414e-01
8.05760576057610e+08	2.13827159813882e-01,-9.70280289611251e-01
8.05800580058010e+08	2.11794014014632e-01,-9.70736608000592e-01
