Freq.	-V(reflectedwaveover20)/V(minusincidentwaveover20)
7.00000000000000e+07	-8.66548065367190e-01,4.97186795781140e-01
7.00060006000600e+07	-8.66391820694560e-01,4.97457185254579e-01
7.00120012001200e+07	-8.66235491257362e-01,4.97727525563667e-01
7.00180018001800e+07	-8.66079077071019e-01,4.97997816681901e-01
7.00240024002400e+07	-8.65922578151105e-01,4.98268058582758e-01
7.00300030003000e+07	-8.65765994512952e-01,4.98538251239781e-01
7.00360036003600e+07	-8.65609326172145e-01,4.98808394626492e-01
7.00420042004200e+07	-8.65452573144170e-01,4.99078488716375e-01
7.00480048004800e+07	-8.65295735444515e-01,4.99348533483026e-01
7.00540054005400e+07	-8.65138813088710e-01,4.99618528899915e-01
7.00600060006000e+07	-8.64981806092274e-01,4.99888474940601e-01
7.00660066006600e+07	-8.64824714470741e-01,5.00158371578619e-01
7.00720072007200e+07	-8.64667538239619e-01,5.00428218787546e-01
7.00780078007800e+07	-8.64510277414580e-01,5.00698016540897e-01
7.00840084008400e+07	-8.64352932010988e-01,5.00967764812263e-01
7.00900090009000e+07	-8.64195502044507e-01,5.01237463575178e-01
7.00960096009600e+07	-8.64037987530729e-01,5.01507112803219e-01
7.01020102010200e+07	-8.63880388485239e-01,5.01776712469951e-01
7.01080108010800e+07	-8.63722704923572e-01,5.02046262548967e-01
7.01140114011400e+07	-8.63564936861332e-01,5.02315763013834e-01
7.01200120012000e+07	-8.63407084314164e-01,5.02585213838152e-01
7.01260126012600e+07	-8.63249147297688e-01,5.02854614995504e-01
7.01320132013200e+07	-8.63091125827458e-01,5.03123966459471e-01
7.01380138013800e+07	-8.62933019919163e-01,5.03393268203688e-01
7.01440144014400e+07	-8.62774829588429e-01,5.03662520201734e-01
7.01500150015000e+07	-8.62616554850878e-01,5.03931722427216e-01
7.01560156015600e+07	-8.62458195722224e-01,5.04200874853786e-01
7.01620162016200e+07	-8.62299752218056e-01,5.04469977455004e-01
7.01680168016800e+07	-8.62141224354090e-01,5.04739030204581e-01
7.01740174017400e+07	-8.61982612146032e-01,5.05008033076053e-01
7.01800180018000e+07	-8.61823915609523e-01,5.05276986043132e-01
7.01860186018600e+07	-8.61665134760205e-01,5.05545889079417e-01
7.01920192019200e+07	-8.61506269613891e-01,5.05814742158558e-01
7.01980198019800e+07	-8.61347320186271e-01,5.06083545254220e-01
7.02040204020400e+07	-8.61188286493019e-01,5.06352298340048e-01
7.02100210021000e+07	-8.61029168549888e-01,5.06621001389698e-01
7.02160216021600e+07	-8.60869966372639e-01,5.06889654376837e-01
7.02220222022200e+07	-8.60710679976960e-01,5.07158257275162e-01
