Freq.	-V(reflectedwaveover20)/V(minusincidentwaveover20)
7.00000000000000e+07	-9.78062076463162e-01,2.07218775751848e-01
7.00060006000600e+07	-9.78002377475882e-01,2.07498196771578e-01
7.00120012001200e+07	-9.77942598310869e-01,2.07777600482692e-01
7.00180018001800e+07	-9.77882738973076e-01,2.08056986862230e-01
7.00240024002400e+07	-9.77822799467557e-01,2.08336355887241e-01
7.00300030003000e+07	-9.77762779799411e-01,2.08615707534786e-01
7.00360036003600e+07	-9.77702679973707e-01,2.08895041781918e-01
7.00420042004200e+07	-9.77642499995468e-01,2.09174358605692e-01
7.00480048004800e+07	-9.77582239869797e-01,2.09453657983162e-01
7.00540054005400e+07	-9.77521899601777e-01,2.09732939891382e-01
7.00600060006000e+07	-9.77461479196521e-01,2.10012204307430e-01
7.00660066006600e+07	-9.77400978659037e-01,2.10291451208352e-01
7.00720072007200e+07	-9.77340397994586e-01,2.10570680571216e-01
7.00780078007800e+07	-9.77279737208143e-01,2.10849892373093e-01
7.00840084008400e+07	-9.77218996304849e-01,2.11129086591038e-01
7.00900090009000e+07	-9.77158175289871e-01,2.11408263202128e-01
7.00960096009600e+07	-9.77097274168316e-01,2.11687422183433e-01
7.01020102010200e+07	-9.77036292945323e-01,2.11966563512018e-01
7.01080108010800e+07	-9.76975231626056e-01,2.12245687164950e-01
7.01140114011400e+07	-9.76914090215598e-01,2.12524793119319e-01
7.01200120012000e+07	-9.76852868719170e-01,2.12803881352191e-01
7.01260126012600e+07	-9.76791567141917e-01,2.13082951840641e-01
7.01320132013200e+07	-9.76730185488982e-01,2.13362004561752e-01
7.01380138013800e+07	-9.76668723765586e-01,2.13641039492592e-01
7.01440144014400e+07	-9.76607181976914e-01,2.13920056610266e-01
7.01500150015000e+07	-9.76545560128084e-01,2.14199055891836e-01
7.01560156015600e+07	-9.76483858224360e-01,2.14478037314398e-01
7.01620162016200e+07	-9.76422076270968e-01,2.14757000855033e-01
7.01680168016800e+07	-9.76360214273001e-01,2.15035946490825e-01
7.01740174017400e+07	-9.76298272235811e-01,2.15314874198871e-01
7.01800180018000e+07	-9.76236250164486e-01,2.15593783956252e-01
7.01860186018600e+07	-9.76174148064295e-01,2.15872675740066e-01
7.01920192019200e+07	-9.76111965940566e-01,2.16151549527411e-01
7.01980198019800e+07	-9.76049703798426e-01,2.16430405295370e-01
7.02040204020400e+07	-9.75987361643235e-01,2.16709243021055e-01
7.02100210021000e+07	-9.75924939480112e-01,2.16988062681548e-01
7.02160216021600e+07	-9.75862437314410e-01,2.17266864253953e-01
7.02220222022200e+07	-9.75799855151348e-01,2.17545647715381e-01
7.02280228022800e+07	-9.75737192996291e-01,2.17824413042932e-01
7.02340234023400e+07	-9.75674450854406e-01,2.18103160213705e-01
7.02400240024000e+07	-9.75611628731027e-01,2.18381889204799e-01
7.02460246024600e+07	-9.75548726631421e-01,2.18660599993336e-01
7.02520252025200e+07	-9.75485744560914e-01,2.18939292556418e-01
7.02580258025800e+07	-9.75422682524834e-01,2.19217966871153e-01
7.02640264026400e+07	-9.75359540528516e-01,2.19496622914664e-01
7.02700270027000e+07	-9.75296318577186e-01,2.19775260664053e-01
7.02760276027600e+07	-9.75233016676221e-01,2.20053880096430e-01
7.02820282028200e+07	-9.75169634830905e-01,2.20332481188926e-01
7.02880288028800e+07	-9.75106173046688e-01,2.20611063918660e-01
7.02940294029400e+07	-9.75042631328829e-01,2.20889628262736e-01
7.03000300030001e+07	-9.74979009682699e-01,2.21168174198287e-01
7.03060306030601e+07	-9.74915308113637e-01,2.21446701702434e-01
7.03120312031201e+07	-9.74851526627052e-01,2.21725210752299e-01
7.03180318031801e+07	-9.74787665228313e-01,2.22003701325017e-01
7.03240324032401e+07	-9.74723723922779e-01,2.22282173397703e-01
7.03300330033001e+07	-9.74659702715810e-01,2.22560626947495e-01
7.03360336033601e+07	-9.74595601612776e-01,2.22839061951515e-01
7.03420342034201e+07	-9.74531420619163e-01,2.23117478386906e-01
7.03480348034801e+07	-9.74467159740355e-01,2.23395876230790e-01
7.03540354035401e+07	-9.74402818981715e-01,2.23674255460316e-01
7.03600360036001e+07	-9.74338398348662e-01,2.23952616052604e-01
7.03660366036601e+07	-9.74273897846665e-01,2.24230957984806e-01
7.03720372037201e+07	-9.74209317481150e-01,2.24509281234070e-01
7.03780378037801e+07	-9.74144657257514e-01,2.24787585777518e-01
7.03840384038401e+07	-9.74079917181242e-01,2.25065871592299e-01
7.03900390039001e+07	-9.74015097257739e-01,2.25344138655570e-01
7.03960396039601e+07	-9.73950197492486e-01,2.25622386944458e-01
7.04020402040201e+07	-9.73885217890944e-01,2.25900616436123e-01
7.04080408040801e+07	-9.73820158458558e-01,2.26178827107715e-01
7.04140414041401e+07	-9.73755019200852e-01,2.26457018936382e-01
7.04200420042001e+07	-9.73689800123305e-01,2.26735191899281e-01
7.04260426042601e+07	-9.73624501231365e-01,2.27013345973567e-01
7.04320432043201e+07	-9.73559122530524e-01,2.27291481136380e-01
7.04380438043801e+07	-9.73493664026306e-01,2.27569597364897e-01
7.04440444044401e+07	-9.73428125724288e-01,2.27847694636281e-01
7.04500450045001e+07	-9.73362507629830e-01,2.28125772927665e-01
7.04560456045601e+07	-9.73296809748629e-01,2.28403832216239e-01
7.04620462046201e+07	-9.73231032086034e-01,2.28681872479153e-01
7.04680468046801e+07	-9.73165174647737e-01,2.28959893693578e-01
7.04740474047401e+07	-9.73099237439166e-01,2.29237895836685e-01
7.04800480048001e+07	-9.73033220465981e-01,2.29515878885641e-01
7.04860486048601e+07	-9.72967123733559e-01,2.29793842817599e-01
7.04920492049201e+07	-9.72900947247636e-01,2.30071787609755e-01
7.04980498049801e+07	-9.72834691013734e-01,2.30349713239279e-01
7.05040504050401e+07	-9.72768355037428e-01,2.30627619683334e-01
7.05100510051001e+07	-9.72701939324210e-01,2.30905506919110e-01
7.05160516051601e+07	-9.72635443879774e-01,2.31183374923778e-01
