Freq.	-V(reflectedwaveover20)/V(minusincidentwaveover20)
7.00000000000000e+07	8.58502813784610e-01,-4.94924782410994e-01
7.00060006000600e+07	8.58347115711363e-01,-4.95196595511528e-01
7.00120012001200e+07	8.58191332006648e-01,-4.95468359652171e-01
7.00180018001800e+07	8.58035462685869e-01,-4.95740074805887e-01
7.00240024002400e+07	8.57879507764443e-01,-4.96011740945646e-01
7.00300030003000e+07	8.57723467257793e-01,-4.96283358044423e-01
7.00360036003600e+07	8.57567341181352e-01,-4.96554926075197e-01
7.00420042004200e+07	8.57411129550559e-01,-4.96826445010952e-01
7.00480048004800e+07	8.57254832380867e-01,-4.97097914824678e-01
7.00540054005400e+07	8.57098449687732e-01,-4.97369335489370e-01
7.00600060006000e+07	8.56941981486620e-01,-4.97640706978024e-01
7.00660066006600e+07	8.56785427793009e-01,-4.97912029263647e-01
7.00720072007200e+07	8.56628788622381e-01,-4.98183302319246e-01
7.00780078007800e+07	8.56472063990228e-01,-4.98454526117835e-01
7.00840084008400e+07	8.56315253912051e-01,-4.98725700632432e-01
7.00900090009000e+07	8.56158358403361e-01,-4.98996825836060e-01
7.00960096009600e+07	8.56001377479675e-01,-4.99267901701750e-01
7.01020102010200e+07	8.55844311156519e-01,-4.99538928202532e-01
7.01080108010800e+07	8.55687159449429e-01,-4.99809905311445e-01
7.01140114011400e+07	8.55529922373949e-01,-5.00080833001533e-01
7.01200120012000e+07	8.55372599945630e-01,-5.00351711245843e-01
7.01260126012600e+07	8.55215192180034e-01,-5.00622540017429e-01
7.01320132013200e+07	8.55057699092729e-01,-5.00893319289346e-01
7.01380138013800e+07	8.54900120699294e-01,-5.01164049034658e-01
7.01440144014400e+07	8.54742457015314e-01,-5.01434729226433e-01
7.01500150015000e+07	8.54584708056387e-01,-5.01705359837744e-01
7.01560156015600e+07	8.54426873838112e-01,-5.01975940841666e-01
7.01620162016200e+07	8.54268954376105e-01,-5.02246472211283e-01
7.01680168016800e+07	8.54110949685984e-01,-5.02516953919682e-01
7.01740174017400e+07	8.53952859783379e-01,-5.02787385939955e-01
7.01800180018000e+07	8.53794684683928e-01,-5.03057768245200e-01
7.01860186018600e+07	8.53636424403275e-01,-5.03328100808516e-01
7.01920192019200e+07	8.53478078957077e-01,-5.03598383603013e-01
7.01980198019800e+07	8.53319648360997e-01,-5.03868616601801e-01
7.02040204020400e+07	8.53161132630704e-01,-5.04138799777998e-01
7.02100210021000e+07	8.53002531781882e-01,-5.04408933104725e-01
7.02160216021600e+07	8.52843845830218e-01,-5.04679016555109e-01
7.02220222022200e+07	8.52685074791407e-01,-5.04949050102281e-01
7.02280228022800e+07	8.52526218681158e-01,-5.05219033719378e-01
7.02340234023400e+07	8.52367277515184e-01,-5.05488967379542e-01
7.02400240024000e+07	8.52208251309208e-01,-5.05758851055918e-01
7.02460246024600e+07	8.52049140078961e-01,-5.06028684721660e-01
7.02520252025200e+07	8.51889943840182e-01,-5.06298468349922e-01
7.02580258025800e+07	8.51730662608621e-01,-5.06568201913866e-01
7.02640264026400e+07	8.51571296400033e-01,-5.06837885386658e-01
7.02700270027000e+07	8.51411845230186e-01,-5.07107518741471e-01
7.02760276027600e+07	8.51252309114851e-01,-5.07377101951480e-01
7.02820282028200e+07	8.51092688069811e-01,-5.07646634989866e-01
7.02880288028800e+07	8.50932982110858e-01,-5.07916117829815e-01
7.02940294029400e+07	8.50773191253790e-01,-5.08185550444519e-01
7.03000300030001e+07	8.50613315514415e-01,-5.08454932807175e-01
