Freq.	-V(reflectedwaveover20)/V(minusincidentwaveover20)
7.00000000000000e+07	6.44869214714959e-01,-2.08474349210552e-01
7.06060606060606e+07	6.38058105616928e-01,-2.11510356496510e-01
7.12121212121212e+07	6.30944769135724e-01,-2.14369970734077e-01
7.18181818181818e+07	6.23521059793271e-01,-2.17033745157663e-01
7.24242424242424e+07	6.15779170684319e-01,-2.19480425312122e-01
7.30303030303030e+07	6.07711783101051e-01,-2.21686805931613e-01
7.36363636363637e+07	5.99312244131412e-01,-2.23627584229973e-01
7.42424242424243e+07	5.90574776201072e-01,-2.25275211869471e-01
7.48484848484849e+07	5.81494722857660e-01,-2.26599748673126e-01
7.54545454545455e+07	5.72068835371820e-01,-2.27568722123276e-01
7.60606060606061e+07	5.62295604915065e-01,-2.28146997871500e-01
7.66666666666667e+07	5.52175645118724e-01,-2.28296667896294e-01
7.72727272727273e+07	5.41712129656094e-01,-2.27976964605231e-01
7.78787878787879e+07	5.30911289038177e-01,-2.27144211098795e-01
7.84848484848485e+07	5.19782969968954e-01,-2.25751819991358e-01
7.90909090909091e+07	5.08341259245263e-01,-2.23750355595633e-01
7.96969696969697e+07	4.96605172163658e-01,-2.21087676863925e-01
8.03030303030304e+07	4.84599402549703e-01,-2.17709181141165e-01
8.09090909090910e+07	4.72355127680421e-01,-2.13558171360273e-01
8.15151515151516e+07	4.59910856357580e-01,-2.08576371563849e-01
8.21212121212122e+07	4.47313302061645e-01,-2.02704617239205e-01
8.27272727272728e+07	4.34618255382731e-01,-1.95883747472499e-01
8.33333333333334e+07	4.21891420794239e-01,-1.88055724815890e-01
8.39393939393940e+07	4.09209172471158e-01,-1.79165005366257e-01
8.45454545454546e+07	3.96659172644483e-01,-1.69160175142478e-01
8.51515151515152e+07	3.84340784607567e-01,-1.57995858664852e-01
8.57575757575758e+07	3.72365201993434e-01,-1.45634891002190e-01
8.63636363636364e+07	3.60855207776250e-01,-1.32050724991710e-01
8.69696969696971e+07	3.49944472473190e-01,-1.17230020790231e-01
8.75757575757577e+07	3.39776303420696e-01,-1.01175335947261e-01
8.81818181818183e+07	3.30501768096997e-01,-8.39078022283667e-02
8.87878787878789e+07	3.22277136406708e-01,-6.54696429426585e-02
8.93939393939395e+07	3.15260621142508e-01,-4.59263551609673e-02
9.00000000000001e+07	3.09608442805672e-01,-2.53683595966595e-02
9.06060606060607e+07	3.05470303133819e-01,-3.91191234526336e-03
9.12121212121213e+07	3.02984417333058e-01,1.83009176355666e-02
9.18181818181819e+07	3.02272321996184e-01,4.11033693187453e-02
9.24242424242425e+07	3.03433735723581e-01,6.43063162348718e-02
9.30303030303032e+07	3.06541793009601e-01,8.77018271078616e-02
9.36363636363638e+07	3.11638989691035e-01,1.11067891810666e-01
9.42424242424244e+07	3.18734162936162e-01,1.34174139131611e-01
9.48484848484850e+07	3.27800777112470e-01,1.56788272705401e-01
9.54545454545456e+07	3.38776701008007e-01,1.78682869919887e-01
9.60606060606062e+07	3.51565549699159e-01,1.99642138334111e-01
9.66666666666668e+07	3.66039538739117e-01,2.19468213978459e-01
9.72727272727274e+07	3.82043675106366e-01,2.37986618851411e-01
9.78787878787880e+07	3.99401004413797e-01,2.55050567275172e-01
9.84848484848486e+07	4.17918560277438e-01,2.70543912708854e-01
9.90909090909092e+07	4.37393627314366e-01,2.84382644128689e-01
9.96969696969699e+07	4.57619935468148e-01,2.96514958688873e-01
1.00303030303030e+08	4.78393445643379e-01,3.06920040968250e-01
1.00909090909091e+08	4.99517455742059e-01,3.15605758224709e-01
1.01515151515152e+08	5.20806840469074e-01,3.22605530147021e-01
1.02121212121212e+08	5.42091325908834e-01,3.27974650030006e-01
1.02727272727273e+08	5.63217780819596e-01,3.31786325662626e-01
1.03333333333334e+08	5.84051573719229e-01,3.34127678793498e-01
1.03939393939394e+08	6.04477094324877e-01,3.35095899270376e-01
1.04545454545455e+08	6.24397568967328e-01,3.34794701089183e-01
1.05151515151515e+08	6.43734313769607e-01,3.33331178734668e-01
1.05757575757576e+08	6.62425569668599e-01,3.30813117806293e-01
1.06363636363637e+08	6.80425053426300e-01,3.27346776723437e-01
1.06969696969697e+08	6.97700342274571e-01,3.23035127476604e-01
1.07575757575758e+08	7.14231189972400e-01,3.17976522925849e-01
1.08181818181818e+08	7.30007851367436e-01,3.12263745231860e-01
1.08787878787879e+08	7.45029472856600e-01,3.05983383384136e-01
1.09393939393940e+08	7.59302588573672e-01,2.99215486051935e-01
1.10000000000000e+08	7.72839747278785e-01,2.92033437758140e-01
1.10606060606061e+08	7.85658282951468e-01,2.84504010458282e-01
1.11212121212121e+08	7.97779232876662e-01,2.76687548011616e-01
1.11818181818182e+08	8.09226400271838e-01,2.68638247004519e-01
1.12424242424243e+08	8.20025553859668e-01,2.60404503389217e-01
1.13030303030303e+08	8.30203753849747e-01,2.52029300075334e-01
1.13636363636364e+08	8.39788792178808e-01,2.43550615745264e-01
1.14242424242424e+08	8.48808734237242e-01,2.35001839652496e-01
1.14848484848485e+08	8.57291549398005e-01,2.26412180977139e-01
1.15454545454546e+08	8.65264818232955e-01,2.17807064477679e-01
1.16060606060606e+08	8.72755505172046e-01,2.09208506745731e-01
1.16666666666667e+08	8.79789786397575e-01,2.00635469410178e-01
1.17272727272728e+08	8.86392923870227e-01,1.92104187222897e-01
1.17878787878788e+08	8.92589177487327e-01,1.83628470163515e-01
1.18484848484849e+08	8.98401748430841e-01,1.75219979593161e-01
1.19090909090909e+08	9.03852747745232e-01,1.66888479127579e-01
1.19696969696970e+08	9.08963185077957e-01,1.58642061340647e-01
1.20303030303031e+08	9.13752973312176e-01,1.50487351694461e-01
1.20909090909091e+08	9.18240945522245e-01,1.42429691258479e-01
1.21515151515152e+08	9.22444881291985e-01,1.34473299857348e-01
1.22121212121212e+08	9.26381539960076e-01,1.26621421299076e-01
1.22727272727273e+08	9.30066698804349e-01,1.18876452300706e-01
1.23333333333334e+08	9.33515194555299e-01,1.11240056662492e-01
1.23939393939394e+08	9.36740966947380e-01,1.03713266154860e-01
1.24545454545455e+08	9.39757103282398e-01,9.62965694835882e-02
1.25151515151515e+08	9.42575883199735e-01,8.89899905941172e-02
1.25757575757576e+08	9.45208823030108e-01,8.17931574699655e-02
1.26363636363637e+08	9.47666719258716e-01,7.47053624763927e-02
1.26969696969697e+08	9.49959690745175e-01,6.77256152006382e-02
1.27575757575758e+08	9.52097219446149e-01,6.08526886458367e-02
1.28181818181818e+08	9.54088189465745e-01,5.40851595478212e-02
1.28787878787879e+08	9.55940924321943e-01,4.74214435028776e-02
1.29393939393940e+08	9.57663222367351e-01,4.08598255202038e-02
1.30000000000000e+08	9.59262390341703e-01,3.43984865452441e-02
