Record Length,Analog:70
Sample Interval,CH:0.0000000020000
Vertical Units,CH1:V CH2:V,,,
Vertical Scale,CH1:+2.000000E+00 CH2:+5.000000E+00,,,
Vertical Offset,CH1:+0.000000E+00 CH2:+0.000000E+00,,,
Horizontal Units,us,,,
Horizontal Scale,0.0100000000,,,
Model Number,SDS1104X-E,,,
Serial Number,SDSMMFCQ5R6893,,,
Software Version,8.1.6.1.35R2,,,
Source,CH1,CH2
Second,Volt,Volt
-1.050000E-07,+5.600000E-01,+4.000000E-01
-1.030000E-07,+4.800000E-01,+4.000000E-01
-1.010000E-07,+1.840000E+00,+2.000000E+00
-9.900000E-08,+3.680000E+00,+4.200000E+00
-9.700000E-08,+4.480000E+00,+5.400000E+00
-9.500000E-08,+4.560000E+00,+5.600000E+00
-9.300000E-08,+4.400000E+00,+4.800000E+00
-9.100000E-08,+3.840000E+00,+3.800000E+00
-8.900000E-08,+3.440000E+00,+3.600000E+00
-8.700000E-08,+3.760000E+00,+4.200000E+00
-8.500000E-08,+4.000000E+00,+4.400000E+00
-8.300000E-08,+2.720000E+00,+2.800000E+00
-8.100000E-08,+7.200000E-01,+6.000000E-01
-7.900000E-08,-4.000000E-01,-9.999999E-01
-7.700000E-08,-6.400000E-01,-1.400000E+00
-7.500000E-08,-5.600000E-01,-9.999999E-01
-7.300000E-08,+8.000001E-02,+0.000000E+00
-7.100000E-08,+7.200000E-01,+6.000000E-01
-6.900000E-08,+6.400000E-01,+4.000000E-01
-6.700000E-08,+4.000000E-01,+4.000000E-01
-6.500000E-08,+1.600000E+00,+1.600000E+00
-6.300000E-08,+3.440000E+00,+3.800000E+00
-6.100000E-08,+4.320000E+00,+5.200000E+00
-5.900000E-08,+4.560000E+00,+5.600000E+00
-5.700000E-08,+4.480000E+00,+5.000000E+00
-5.500000E-08,+4.000000E+00,+4.000000E+00
-5.300000E-08,+3.440000E+00,+3.600000E+00
-5.100000E-08,+3.600000E+00,+4.000000E+00
-4.900000E-08,+4.000000E+00,+4.400000E+00
-4.700000E-08,+3.040000E+00,+3.200000E+00
-4.500000E-08,+1.040000E+00,+9.999999E-01
-4.300000E-08,-3.200000E-01,-8.000000E-01
-4.100000E-08,-6.400000E-01,-1.400000E+00
-3.900000E-08,-4.800000E-01,-9.999999E-01
-3.700000E-08,+0.000000E+00,-2.000000E-01
-3.500000E-08,+7.200000E-01,+6.000000E-01
-3.300000E-08,+7.200000E-01,+6.000000E-01
-3.100000E-08,+3.200000E-01,+4.000000E-01
-2.900000E-08,+1.280000E+00,+1.400000E+00
-2.700000E-08,+3.200000E+00,+3.400000E+00
-2.500000E-08,+4.320000E+00,+5.000000E+00
-2.300000E-08,+4.560000E+00,+5.600000E+00
-2.100000E-08,+4.480000E+00,+5.000000E+00
-1.900000E-08,+4.000000E+00,+4.200000E+00
-1.700000E-08,+3.520000E+00,+3.600000E+00
-1.500000E-08,+3.600000E+00,+4.000000E+00
-1.300000E-08,+4.000000E+00,+4.400000E+00
-1.100000E-08,+3.280000E+00,+3.600000E+00
-9.000000E-09,+1.360000E+00,+1.400000E+00
-7.000000E-09,-2.400000E-01,-6.000000E-01
-5.000000E-09,-7.200000E-01,-1.400000E+00
-3.000000E-09,-5.600000E-01,-1.200000E+00
-1.000000E-09,-8.000001E-02,-2.000000E-01
+1.000000E-09,+6.400000E-01,+6.000000E-01
+3.000000E-09,+7.200000E-01,+6.000000E-01
+5.000000E-09,+4.000000E-01,+2.000000E-01
+7.000000E-09,+1.120000E+00,+1.200000E+00
+9.000000E-09,+2.880000E+00,+3.200000E+00
+1.100000E-08,+4.160000E+00,+4.800000E+00
+1.300000E-08,+4.560000E+00,+5.600000E+00
+1.500000E-08,+4.560000E+00,+5.200000E+00
+1.700000E-08,+4.160000E+00,+4.400000E+00
+1.900000E-08,+3.600000E+00,+3.600000E+00
+2.100000E-08,+3.520000E+00,+3.800000E+00
+2.300000E-08,+4.080000E+00,+4.400000E+00
+2.500000E-08,+3.600000E+00,+3.800000E+00
+2.700000E-08,+1.600000E+00,+1.600000E+00
+2.900000E-08,-8.000001E-02,-6.000000E-01
+3.100000E-08,-5.600000E-01,-1.400000E+00
+3.300000E-08,-5.600000E-01,-1.400000E+00
